"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='11.992mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='23.984mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='35.976mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='47.968mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='59.958mm'","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1.45,-15.3047249632025,-10.7455927907901,-9.5434721374331,-10.5232349657257,-14.6114957378146,-0.129955092040031
1.46,-15.2518879893125,-10.7118000924191,-9.54178202052228,-10.5842593026549,-14.8515541538871,-0.131570147302293
1.47,-15.1994979229858,-10.6785749302145,-9.54096649723714,-10.6474609610736,-15.1018861207322,-0.133191664297808
1.48,-15.1475493696184,-10.6459118312049,-9.54102538500787,-10.7128807881693,-15.3631248665213,-0.134819555314188
1.49,-15.096037067736,-10.6138054212744,-9.54195877741297,-10.7805615714665,-15.6359701296618,-0.136453731468488
1.5,-15.0449558862356,-10.582250425204,-9.54376704457952,-10.850548135517,-15.9211978898293,-0.138094102660133
1.51,-14.9943008216736,-10.5512416667948,-9.54645083376927,-10.922887445273,-16.2196719541415,-0.139740577524461
1.52,-14.9440669955963,-10.5207740690594,-9.55001107014928,-10.9976287167233,-16.5323578392039,-0.141393063387127
1.53,-14.8942496519055,-10.4908426544655,-9.55444895774722,-11.0748235354366,-16.8603395169061,-0.143051466219501
1.54,-14.8448441542561,-10.461442545221,-9.55976598059084,-11.1545259837213,-17.2048397627425,-0.144715690595398
1.55,-14.7958459834788,-10.4325689635851,-9.56596390403211,-11.2367927771936,-17.5672450777366,-0.146385639649231
1.56,-14.7472507350254,-10.4042172321954,-9.57304477625681,-11.3216834116287,-17.9491364747996,-0.148061215035975
1.57,-14.6990541164301,-10.3763827743975,-9.5810109299805,-11.4092603210686,-18.3523278663886,-0.149742316893015
1.58,-14.6512519447855,-10.3490611145663,-9.58986498433245,-11.4995890482708,-18.7789144217031,-0.15142884380427
1.59,-14.603840144227,-10.3222478784098,-9.59960984692957,-11.5927384287025,-19.2313341697778,-0.153120692766739
1.6,-14.5568147434236,-10.2959387932425,-9.61024871614249,-11.6887807894278,-19.7124474541087,-0.154817759159717
1.61,-14.5101718730718,-10.2701296882216,-9.6217850835567,-11.7877921643895,-20.2256408282265,-0.156519936716966
1.62,-14.4639077633884,-10.244816494536,-9.63422273663202,-11.8898525277667,-20.77496500636,-0.158227117502052
1.63,-14.4180187416017,-10.2199952455401,-9.64756576156405,-11.9950460472921,-21.3653212069045,-0.159939191887076
1.64,-14.3725012294358,-10.1956620768242,-9.66181854635186,-12.103461359644,-22.0027178038665,-0.161656048535076
1.65,-14.3273517405884,-10.1718132262159,-9.67698578407658,-12.215191870287,-22.6946317321766,-0.16337757438631
1.66,-14.2825668781984,-10.1484450337048,-9.69307247639632,-12.3303360804427,-23.4505305460697,-0.165103654648615
1.67,-14.2381433323028,-10.125553941286,-9.710083937263,-12.4489979442083,-24.2826492576214,-0.16683417279214
1.68,-14.1940778772798,-10.1031364927161,-9.72802579686775,-12.5712872592432,-25.2071874548247,-0.168569010548639
1.69,-14.150367369279,-10.0811893331784,-9.74690400582172,-12.6973200948954,-26.2462330172979,-0.170308047915477
1.7,-14.1070087436354,-10.0597092088532,-9.76672483958006,-12.8272192621674,-27.4310156917188,-0.172051163164683
1.71,-14.0639990122689,-10.0386929663893,-9.78749490311744,-12.9611148305312,-28.8077733877186,-0.173798232857063
1.72,-14.021335261066,-10.0181375522752,-9.80922113586419,-13.0991446973075,-30.449239495017,-0.17554913186178
1.73,-13.9790146472464,-9.99804001210759,-9.83191081691284,-13.2414552161524,-32.4797826125993,-0.177303733381358
1.74,-13.9370343967112,-9.97839748975555,-9.85557157050583,-13.3882018921533,-35.1399365401355,-0.179061908982441
1.75,-13.8953918013764,-9.95920722641987,-9.88021137181575,-13.5395501521674,-38.9999156624817,-0.180823528632288
1.76,-13.8540842164884,-9.94046655958736,-9.90583855303068,-13.6956762003624,-46.131078070012,-0.182588460741366
1.77,-13.8131090579256,-9.92217292188032,-9.93246180975785,-13.8567679704811,-57.3984520367873,-0.184356572211919
1.78,-13.7724637994837,-9.90432383980207,-9.96009020776012,-14.0230261882084,-42.3439412604962,-0.186127728492798
1.79,-13.7321459701487,-9.88691693237992,-9.98873319004072,-14.1946655592151,-37.1286882905784,-0.187901793640547
1.8,-13.6921531513559,-9.86994990970744,-10.0184005842928,-14.3719161010835,-33.8952510058858,-0.189678630386846
1.81,-13.6524829742396,-9.85342057138838,-10.0491026107321,-14.5550246404573,-31.5470978434484,-0.191458100212366
1.82,-13.6131331168716,-9.83732680488506,-10.0808498903308,-14.744256500543,-29.7034860921914,-0.193240063427102
1.83,-13.5741013014932,-9.82166658377436,-10.1136534534748,-14.939897408651,-28.1865701009167,-0.19502437925712
1.84,-13.5353852917412,-9.80643796591518,-10.1475247490651,-15.1422556590063,-26.8987618778612,-0.19681090593782
1.85,-13.496982889871,-9.79163909153112,-10.1824756540876,-15.3516645728089,-25.7806957441312,-0.198599500813574
1.86,-13.4588919339779,-9.77726818121303,-10.2185184836766,-15.5684853057976,-24.7935528520673,-0.200390020443826
1.87,-13.4211102952206,-9.76332353384606,-10.2556660016993,-15.7931100637664,-23.9105520364621,-0.202182320715474
1.88,-13.3836358750488,-9.74980352446627,-10.2939314318906,-16.025965799103,-23.1124351074561,-0.203976256961538
1.89,-13.3464666024383,-9.73670660205221,-10.3333284695692,-16.2675184771581,-22.3848883595304,-0.205771684085887
1.9,-13.3096004311356,-9.72403128725708,-10.373871293969,-16.5182780209808,-21.716982093148,-0.207568456694059
1.91,-13.2730353369164,-9.71177617008726,-10.415574581222,-16.7788040678599,-21.1001809476434,-0.209366429229847
1.92,-13.2367693148615,-9.69993990753352,-10.4584535180299,-17.0497127027725,-20.5276914817003,-0.211165456117583
1.93,-13.2008003766515,-9.68852122116081,-10.5025238160688,-17.3316843743825,-19.9940178517756,-0.212965391909899
1.94,-13.1651265478865,-9.67751889466353,-10.5478017271686,-17.6254732515795,-19.4946506942266,-0.214766091440684
1.95,-13.1297458654333,-9.66693177139248,-10.5943040593162,-17.9319183466906,-19.0258439920075,-0.216567409983073
1.96,-13.0946563748032,-9.65675875186044,-10.6420481935346,-18.2519568210269,-18.5844516609942,-0.218369203412091
