"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='11.992mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='23.984mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='35.976mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='47.968mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='59.96mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='71.952mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='83.944mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='95.936mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='107.928mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='119.92mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='131.912mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='143.904mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='155.892mm'"
2.95,-5.88378012760219,-23.4010109928862,-41.1081251428249,-58.6942112091566,-76.2563837603492,-93.7288562673764,-111.199839840663,-129.048493692711,-146.673437515676,-164.216739831215,178.223209199517,160.646384469497,143.123928740947
2.96,-8.34188715120681,-25.917917374414,-43.6861141582927,-61.3312775353528,-78.9524465162995,-96.4837795071781,-114.010943849619,-131.922496981161,-149.608622931742,-167.211112580517,175.170327390898,157.532380880904,139.953897283427
2.97,-10.7998978109621,-28.4347922502909,-46.2640948953244,-63.9682987055637,-81.6484476617372,-99.2386592875451,-116.821749072738,-134.796446460956,-152.543751034172,-170.205412087602,172.117496951538,154.418390153405,136.784110661755
2.98,-13.2578082237721,-30.9516319292068,-48.8420678491721,-66.6052751066488,-84.344386636783,-101.993493702664,-119.632224648401,-137.67034400456,-155.478817953407,-173.199636632487,169.064715204158,151.304416156761,133.61456892008
2.99,-15.7156147191123,-33.4684324710578,-51.4200334133988,-69.2422071717249,-87.0402629273334,-104.748280754374,-122.442336832381,-140.544191225877,-158.41381921803,-176.193784508492,166.011979416901,148.190462468066,130.445270771605
3,-18.1733138655314,-35.9851896990397,-53.9979918727986,-71.8790953780374,-89.7360760676984,-107.503018353351,-125.252048825849,-143.417989425822,-161.348749693717,-179.187854010695,162.959286820404,145.076532250413,127.276213579031
3.01,-20.6309024963578,-38.5018992134865,-56.5759433966398,-74.5159402445552,-92.4318256431529,-110.257704320543,-128.058710046628,-146.291769962847,-164.281751726123,177.818147308157,159.90663462547,141.962754535291,124.107521238032
3.02,-23.0883777344203,-41.018556407421,-59.1538880322712,-77.1527423292922,-95.1275112923857,-113.012336388855,-130.866502374414,-149.165537462016,-167.215556037649,174.824231762798,156.854020041227,138.849034974515,120.939007675784
3.03,-25.5457370155963,-43.5351564837804,-61.7318256991409,-79.7895022263643,-97.823132709838,-115.766912205097,-133.675220475065,-152.039292335898,-170.149992453677,171.830399142538,153.801440293699,135.735385882156,117.770678230674
3.04,-28.0029781110016,-46.0516944742632,-64.309756183263,-82.4262205627793,-100.518689647915,-118.521429332183,-136.484677356818,-154.913035958735,-173.084909039735,168.836649134268,150.748892644661,132.621819102414,114.60253481394
