"scanningtheta [deg]","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - Freq='2.5GHz'","mag(S(FloquetPort2:2,FloquetPort1:2))_1 [] - Freq='2.5GHz'"
73,0.281655710068303,0.959515513470669
73.5,0.293820342421406,0.955860629320852
74,0.306617946490678,0.951832652764514
74.5,0.31961704075762,0.947546781207765
75,0.333078785578963,0.942898973380441
75.5,0.346959656047248,0.937880031285877
76,0.360990496345988,0.932569461710754
76.5,0.375351247091744,0.92688261377069
77,0.390484160223026,0.920609619884834
77.5,0.405971606406867,0.913885670054866
78,0.421998506645557,0.906596509251932
78.5,0.438529337590311,0.898716859619679
79,0.455567263792494,0.890201323455461
79.5,0.473358602003267,0.880869801241766
80,0.491306332722286,0.870986831413136
80.5,0.509910482900686,0.860227446692199
81,0.528687048990203,0.848816791835185
81.5,0.548261687564346,0.83630681766948
82,0.568777911929002,0.822491140507371
82.5,0.589718264124698,0.807609027040358
83,0.611429305666887,0.791299044231883
83.5,0.633559370906706,0.773694068373345
84,0.656560876702794,0.754273030734957
84.5,0.680527262529656,0.732722754068827
85,0.704760416371014,0.709445356899881
85.5,0.729965191940003,0.683484284166831
86,0.756292719224219,0.654233328481546
86.5,0.783259629822975,0.621692534276418
87,0.811184187798055,0.584787419151092
87.5,0.839869566621504,0.542785101687668
88,0.869739977435936,0.493507487461203
88.5,0.900612455300226,0.434620925902094
89,0.932660895801535,0.360752770632065
89.5,0.965754884168374,0.259455249398262
90,0.999999865089448,0.000320599556654864
