"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort2:1,FloquetPort1:1)) [] - $varyingpermittivity='6'"
2.29,0.248691314442459,0.435905181999034,0.565044919555815,0.65150562632108,0.709735080812052,0.968582790349101,0.899994719318106,0.825058759940849,0.758642740187448,0.704460371267368
2.3,0.249449308575424,0.436879469997144,0.56589442317561,0.652108679969337,0.710074371258374,0.968387852122636,0.899522134447468,0.824476377829854,0.758124428290367,0.70411859085923
2.31,0.250203488867756,0.437845370327811,0.566732182976386,0.652698556562627,0.710399815713702,0.968193266856062,0.899052321676201,0.823900791009623,0.757616640312715,0.70379048956891
2.32,0.250953887129064,0.438802919573525,0.567558250178417,0.653275321193419,0.710711472374081,0.967999035446399,0.898585294839062,0.823332013862876,0.757119372269655,0.703476045096381
2.33,0.251700537082288,0.439752155227288,0.568372676166201,0.653839038171297,0.711009397972715,0.967805158149729,0.898121066980814,0.822770059810208,0.75663261946722,0.703175234721249
2.34,0.252443474324733,0.440693115654366,0.569175512477587,0.654389771008746,0.711293647776999,0.967611634584352,0.897659650369148,0.82221494132266,0.756156376523321,0.702888035339945
2.35,0.253182736283607,0.441625840050834,0.56996681079157,0.654927582406237,0.711564275583741,0.967418463735653,0.897201056509378,0.821666669935482,0.755690637389795,0.702614423504873
2.36,0.253918362165996,0.442550368398944,0.570746622914744,0.65545253423665,0.711821333712521,0.96722564396275,0.896745296160911,0.821125256262985,0.755235395375544,0.702354375465464
2.37,0.254650392903278,0.443466741419335,0.571515000766408,0.655964687529093,0.712064872997104,0.967033173006936,0.896292379355524,0.820590710014607,0.754790643170717,0.702107867211067
2.38,0.25537887108994,0.444375000520145,0.572271996362309,0.656464102452165,0.712294942774879,0.966841048001957,0.895842315417462,0.820063040012074,0.754356372871973,0.701874874515621
2.39,0.256103840916818,0.445275187743046,0.573017661797034,0.65695083829671,0.712511590874266,0.966649265486155,0.89539511298534,0.819542254207713,0.753932576008832,0.701655372984029
2.4,0.256825348098755,0.446167345706316,0.573752049225052,0.657424953458125,0.712714863600057,0.966457821416499,0.894950780035876,0.819028359703847,0.753519243571075,0.701449338100159
2.41,0.257543439796717,0.447051517544976,0.574475210840408,0.657886505418254,0.712904805716667,0.966266711184529,0.894509323909435,0.818521362773359,0.753116366037215,0.701256745276383
2.42,0.258258164534404,0.4479277468481,0.575187198855088,0.658335550726939,0.713081460429266,0.966075929634215,0.894070751337387,0.818021268881255,0.752723933404018,0.701077569904563
2.43,0.258969572109408,0.448796077593409,0.575888065476075,0.658772144983265,0.71324486936279,0.965885471081766,0.893635068471242,0.817528082707318,0.752341935217043,0.70091178740838
2.44,0.259677713498988,0.449656554079214,0.576577862881107,0.659196342816548,0.713395072538827,0.965695329337375,0.893202280913561,0.817041808169823,0.7519703606022,0.700759373296917
2.45,0.260382640760549,0.450509220853877,0.57725664319317,0.659608197867124,0.713532108350374,0.96550549772891,0.89277239375061,0.816562448450182,0.751609198298284,0.70062030321936
2.46,0.261084406926916,0.451354122642877,0.577924458453761,0.660007762766966,0.713656013534503,0.965315969127544,0.89234541158671,0.81609000601865,0.751258436690448,0.700494553020725
2.47,0.261783065896519,0.452191304273636,0.578581360594949,0.660395089120185,0.713766823142933,0.965126735975337,0.891921338580265,0.815624482660855,0.750918063844598,0.700382098798467
2.48,0.262478672318614,0.453020810598254,0.579227401410269,0.660770227483442,0.713864570510576,0.964937790314709,0.891500178481412,0.815165879505375,0.750588067542642,0.700282916959882
2.49,0.263171281473676,0.453842686414293,0.579862632524511,0.661133227346317,0.713949287222065,0.964749123819839,0.891081934671231,0.814714197052033,0.750268435318556,0.700196984280107
2.5,0.263860949149128,0.454656976383797,0.580487105362429,0.661484137111652,0.714021003076357,0.964560727829935,0.89066661020247,0.814269435201087,0.749959154495215,0.700124277960661
2.51,0.264547731510559,0.455463724950687,0.581100871116442,0.661823004075911,0.714079746049436,0.964372593384344,0.89025420784173,0.813831593283174,0.749660212221909,0.700064775688314
2.52,0.265231684968627,0.456262976256753,0.581703980713369,0.662149874409555,0.714125542255222,0.964184711259488,0.889844730113019,0.81340067008998,0.749371595512511,0.700018455694195
2.53,0.265912866041843,0.457054774056381,0.582296484780268,0.662464793137472,0.714158415904738,0.963997072007562,0.889438179342604,0.812976663905588,0.749093291284169,0.699985296812958
2.54,0.266591331215436,0.457839161630247,0.582878433609439,0.662767804119456,0.714178389263659,0.963809665996958,0.889034557705095,0.812559572538446,0.748825286396503,0.699965278541877
2.55,0.267267136796532,0.458616181698158,0.583449877122659,0.663058950030746,0.714185482608303,0.963622483454368,0.88863386727066,0.812149393353869,0.748567567691168,0.699958381099707
2.56,0.267940338765877,0.459385876331246,0.584010864834719,0.663338272342615,0.714179714180213,0.963435514508501,0.888236110053285,0.811746123307138,0.748320122031715,0.699964585485137
2.57,0.268610992626366,0.46014828686372,0.584561445816348,0.663605811303013,0.714161100139408,0.963248749235343,0.887841288059962,0.811349758976941,0.748082936343644,0.699983873534743
2.58,0.269279153248628,0.4609034538044,0.585101668656583,0.663861605917232,0.714129654516459,0.963062177704921,0.887449403340748,0.810960296599278,0.747855997654535,0.700016227980184
2.59,0.269944874713953,0.461651416748239,0.585631581424684,0.664105693928587,0.714085389163498,0.962875790029451,0.887060458039516,0.810577732101673,0.747639293134142,0.700061632504575
2.6,0.270608210154841,0.462392214288052,0.586151231631676,0.664338111799064,0.714028313704309,0.962689576412835,0.886674454445362,0.81020206113765,0.747432810134329,0.700120071797813
2.61,0.271269211593484,0.463125883926678,0.586660666191589,0.664558894689916,0.713958435483648,0.962503527201394,0.886291395044485,0.809833279121365,0.747236536228717,0.700191531610726
2.62,0.271927929778484,0.463852461989795,0.587159931382506,0.664768076442141,0.713875759515934,0.962317632935758,0.885911282572455,0.809471381262457,0.747050459251898,0.700275998807874
2.63,0.272584414020128,0.464571983539609,0.587649072807494,0.664965689556809,0.713780288433471,0.962131884403807,0.885534120066734,0.809116362600849,0.746874567338073,0.700373461418836
2.64,0.273238712024576,0.465284482289646,0.588128135355519,0.66515176517516,0.71367202243437,0.961946272694579,0.885159910919309,0.808768218041605,0.746708848958968,0.700483908687826
2.65,0.273890869727273,0.465989990520864,0.588597163162443,0.665326333058414,0.713550959230323,0.961760789253021,0.884788658929319,0.80842694238967,0.746553292960841,0.700607331121505
2.66,0.274540931125967,0.466688538999314,0.589056199572185,0.665489421567211,0.713417093994413,0.961575425935491,0.884420368355518,0.808092530384523,0.746407888600443,0.70074372053477
2.67,0.275188938113692,0.467380156895563,0.589505287098156,0.6656410576406,0.713270419309118,0.961390175065875,0.884055043968463,0.807764976734457,0.746272625579731,0.700893070094427
2.68,0.275834930312077,0.468064871706101,0.589944467385063,0.665781266774482,0.713110925114704,0.961205029492224,0.883692691102244,0.807444276150702,0.746147494079156,0.70105537436057
2.69,0.276478944905377,0.468742709176953,0.59037378117118,0.665910072999414,0.712938598658161,0.961019982643759,0.883333315705653,0.807130423381097,0.746032484789339,0.701230629325504
2.7,0.277121016475614,0.469413693229695,0.590793268251176,0.666027498857655,0.712753424442885,0.960835028588151,0.882976924392615,0.806823413243313,0.745927588940921,0.701418832450075
2.71,0.277761176839219,0.470077845890096,0.591202967439613,0.666133565379364,0.712555384179271,0.960650162088911,0.882623524491736,0.806523240657572,0.745832798332386,0.70161998269728
2.72,0.278399454885584,0.470735187219581,0.591602916535203,0.666228292057804,0.7123444567364,0.960465378662778,0.882273124094827,0.806229900678732,0.74574810535565,0.701834080562992
2.73,0.279035876417934,0.471385735249716,0.591993152285926,0.666311696823451,0.712120618095003,0.960280674636955,0.881925732104263,0.805943388527713,0.74567350301917,0.702061128103659
2.74,0.27967046399694,0.472029505919905,0.592373710355093,0.666383796016867,0.711883841301882,0.960096047206065,0.881581358278987,0.805663699622182,0.745608984968368,0.702301128960892
2.75,0.280303236787483,0.472666513018501,0.59274462528847,0.666444604360201,0.711634096425953,0.959911494488666,0.881240013279045,0.805390829606449,0.745554545503114,0.702554088382762
2.76,0.280934210408999,0.473296768127483,0.593105930482542,0.666494134927196,0.711371350516104,0.959727015583189,0.880901708708502,0.805124774380298,0.745510179592029,0.702820013241708
2.77,0.281563396789847,0.47392028057091,0.593457658154005,0.666532399111533,0.711095567561023,0.959542610623161,0.880566457156552,0.804865530127141,0.745475882883365,0.703098912048949
2.78,0.2821908040261,0.474537057367284,0.593799839310593,0.666559406593399,0.710806708451171,0.95935828083153,0.88023427223671,0.804613093340862,0.745451651712187,0.703390794965295
2.79,0.282816436245229,0.475147103186007,0.594132503723306,0.666575165304116,0.710504730943065,0.959174028573986,0.879905168623943,0.804367460851716,0.745437483103608,0.703695673808213
2.8,0.283440293475078,0.475750420308075,0.594455679900141,0.666579681388683,0.710189589626023,0.95898985741108,0.879579162089553,0.804128629850996,0.745433374771805,0.704013562055095
2.81,0.284062371518597,0.476347008591149,0.594769395061397,0.666572959166102,0.709861235891535,0.958805772149022,0.879256269533711,0.803896597914479,0.745439325114533,0.704344474842635
2.82,0.284682661834734,0.476936865439145,0.595073675116629,0.666555001087326,0.70951961790539,0.958621778888977,0.878936509015503,0.803671363024593,0.745455333202861,0.704688428962207
2.83,0.28530115142594,0.477519985776467,0.595368544643338,0.6665258076907,0.70916468058272,0.958437885074722,0.878619899780322,0.80345292359118,0.745481398765855,0.705045442851191
2.84,0.285917822732708,0.47809636202701,0.595654026867457,0.66648537755475,0.708796365566077,0.958254099538504,0.878306462284501,0.803241278470878,0.745517522169894,0.705415536580167
2.85,0.28653265353556,0.478665984098026,0.595930143645697,0.666433707248192,0.708414611206687,0.958070432544927,0.877996218217063,0.80303642698503,0.745563704392354,0.705798731835915
2.86,0.287145616864919,0.479228839368972,0.596196915449827,0.66637079127703,0.708019352548979,0.957886895832741,0.877689190518444,0.80283836893606,0.745619946989344,0.706195051900209
2.87,0.287756680919262,0.479784912685423,0.596454361352934,0.666296622028621,0.70761052131852,0.957703502654362,0.877385403396096,0.802647104622218,0.745686252057199,0.706604521624265
2.88,0.288365808991967,0.480334186358132,0.596702499017718,0.666211189712612,0.707188045913442,0.95752026781296,0.877084882336847,0.802462634850842,0.745762622187435,0.707027167398938
2.89,0.288972959407255,0.480876640167322,0.596941344686877,0.666114482298617,0.706751851399459,0.95733720769699,0.876787654115918,0.802284960949781,0.745849060414853,0.707463017120514
2.9,0.289578085465602,0.481412251372256,0.597170913175607,0.666006485450587,0.706301859508573,0.957154340311988,0.876493746802494,0.802114084777308,0.745945570158495,0.707912100152173
2.91,0.290181135399011,0.481940994726161,0.597391217866279,0.665887182457751,0.705837988641507,0.956971685309496,0.876203189761764,0.801950008730072,0.746052155155144,0.708374447281051
2.92,0.290782052336501,0.482462842496538,0.597602270705301,0.665756554162111,0.705360153873974,0.956789264012973,0.875916013653346,0.801792735749467,0.746168819385065,0.708850090670929
2.93,0.29138077428016,0.482977764490905,0.5978040822022,0.665614578882409,0.704868266966799,0.956607099440529,0.875632250426009,0.801642269326066,0.746295566989688,0.709339063810544
2.94,0.291977234092111,0.483485728087996,0.597996661430951,0.665461232334561,0.70436223637997,0.956425216324355,0.875351933308642,0.801498613502357,0.746432402180926,0.709841401457539
2.95,0.292571359492693,0.483986698274437,0.598180016033551,0.665296487548548,0.703841967290623,0.956243641126709,0.875075096797396,0.801361772873482,0.746579329141836,0.710357139578082
2.96,0.29316307307018,0.484480637686909,0.598354152225862,0.665120314781759,0.703307361615018,0.956062402052306,0.874801776638938,0.801231752586283,0.74673635191833,0.710886315282166
2.97,0.293752292302298,0.484967506659807,0.598519074805712,0.664932681428853,0.702758318034491,0.955881529056987,0.874532009809809,0.801108558336327,0.746903474301644,0.711428966754661
2.98,0.294338929589826,0.485447263278376,0.598674787163258,0.664733551928164,0.702194732025412,0.955701053852547,0.874265834491803,0.800992196363126,0.747080699701294,0.711985133182118
2.99,0.294922892302505,0.485919863437315,0.598821291293595,0.66452288766477,0.701616495893125,0.955521009907563,0.874003290043376,0.800882673443477,0.747268031008225,0.712554854675462
3,0.295504082837484,0.486385260904831,0.598958587811596,0.664300646870309,0.70102349880987,0.955341432444134,0.873744416967063,0.800779996882914,0.747465470447909,0.71313817218854
3.01,0.296082398690492,0.4868434073921,0.599086675968961,0.664067297565992,0.700415626856654,0.955162358430391,0.873489256872879,0.800684174505295,0.74767365118761,0.713735127432687
3.02,0.296657732539903,0.487294252628096,0.599205553673441,0.663822061170046,0.699792763069039,0.95498382656866,0.873237852437725,0.800595214640521,0.747891551272584,0.714345762787337
3.03,0.297229972343841,0.487737744439745,0.599315217510203,0.663564988833984,0.699154787486806,0.954805877279191,0.872990247360807,0.800513126110458,0.748119304393423,0.714970121206784
3.04,0.297799001450432,0.488173828837345,0.599415662765295,0.663296116309039,0.698501577207446,0.954628552679314,0.872746486315074,0.800437918212956,0.748357025746909,0.715608246123213
3.05,0.298364698721283,0.488602450105173,0.599506883451163,0.663015465280603,0.697833006443403,0.954451896557941,0.872506614894741,0.800369600704248,0.748604813578639,0.716260181346064
3.06,0.29892693866825,0.489023550897231,0.599588872334155,0.662723044653315,0.697148946583024,0.954275954345335,0.872270679558899,0.800308183779373,0.748862750665192,0.716925970957898
3.07,0.299485591603504,0.489437072338025,0.599661620963969,0.662418851784242,0.696449266255115,0.954100773078013,0.872038727571285,0.800253678051092,0.749130905733761,0.717605659206817
3.08,0.300040523802881,0.489842954128295,0.599725119704957,0.66210287366198,0.695733831397035,0.953926401358752,0.871810806936297,0.800206094527007,0.749409334817496,0.718299290395653
3.09,0.300591597682478,0.4902411346556,0.599779357769233,0.66177508802993,0.695002505326227,0.953752889311588,0.871586966331254,0.800165444585153,0.749698082545207,0.719006908767984
3.1,0.301138671988398,0.49063155110966,0.599824323251484,0.661435464452338,0.694255148815088,0.953580288531771,0.871367255035075,0.800131739947885,0.749997183364392,0.719728558391152
3.11,0.301681601999529,0.491014139602311,0.59986000316542,0.661083965322078,0.693491620169078,0.953408652030589,0.871151722853383,0.800104992654475,0.750306662696882,0.720464283036469
3.12,0.302220239743199,0.491388835291994,0.599886383481759,0.660720546809503,0.69271177530795,0.953238034175052,0.870940420040217,0.80008521503201,0.750626538026731,0.721214126056694
3.13,0.302754434223513,0.491755572512602,0.599903449167654,0.660345159752,0.691915467849984,0.953068490622359,0.870733397216371,0.800072419665177,0.75095681992023,0.721978130261008
3.14,0.303284031662134,0.49211428490658,0.599911184227468,0.659957750484218,0.69110254919911,0.952900078249167,0.87053070528457,0.800066619364525,0.751297512978238,0.722756337787632
3.15,0.303808875751236,0.492464905562119,0.599909571744783,0.65955826160923,0.69027286863478,0.952732855075612,0.870332395341549,0.800067827133657,0.751648616721264,0.723548789974271
3.16,0.304328807918321,0.492807367154273,0.599898593925535,0.659146632711178,0.689426273404466,0.952566880184113,0.870138518587211,0.800076056135245,0.75201012640798,0.724355527226555
3.17,0.30484366760254,0.493141602089865,0.599878232142162,0.658722801010185,0.688562608818644,0.952402213632958,0.86994912623098,0.800091319655961,0.752382033788094,0.725176588884684
3.18,0.305353292542138,0.493467542655977,0.599848466978642,0.658286701960617,0.687681718348131,0.952238916364714,0.869764269395543,0.800113631070527,0.752764327790698,0.726012013088475
3.19,0.305857519072579,0.493785121171865,0.599809278276305,0.657838269793956,0.686783443723618,0.952077050109511,0.869583999018107,0.800143003804877,0.753156995149442,0.726861836640971
3.2,0.306356182434901,0.494094270144093,0.599760645180272,0.657377438007775,0.685867625037265,0.951916677283253,0.869408365749381,0.800179451298525,0.753560020966043,0.727726094870884
3.21,0.30684911709377,0.494394922424689,0.599702546186419,0.656904139802514,0.68493410084621,0.951757860880879,0.869237419850429,0.800222986966357,0.753973389213826,0.728604821494024
3.22,0.307336157064712,0.494687011372119,0.599634959188701,0.656418308467901,0.683982708277826,0.951600664364727,0.869071211087617,0.800273624159848,0.754397083183159,0.72949804847396
3.23,0.307817136249921,0.494970471014852,0.599557861526725,0.65591987772103,0.683013283136594,0.951445151548187,0.868909788625812,0.800331376127853,0.754831085870773,0.730405805882145
