"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) []","mag(S(FloquetPort2:1,FloquetPort1:1)) []"
2.79,0.00169126026000279,0.999998529345922
2.8,0.00166333998752793,0.99999857711895
2.81,0.001631709769379,0.999998629939976
2.82,0.00159632657098875,0.999998687479193
2.83,0.00155715745039219,0.999998749345889
2.84,0.00151418097464327,0.999998815087675
2.85,0.00146738902132331,0.999998884190092
2.86,0.00141678912035819,0.999998956076612
2.87,0.00136240756789455,0.999999030109057
2.88,0.00130429366471958,0.999999105588451
2.89,0.0012425256260923,0.999999181756314
2.9,0.00117721902967281,0.99999925779643
2.91,0.00110853920653263,0.99999933283708
2.92,0.00103671990746855,0.999999405953766
2.93,0.000962092210071508,0.999999476172419
2.94,0.000885130563455495,0.99999954247311
2.95,0.000806528180975773,0.999999603794254
2.96,0.00072732350550925,0.999999659037306
2.97,0.000649115362941681,0.999999707071958
2.98,0.000574424725096023,0.999999746741804
2.99,0.000507256641371473,0.999999776870498
3,0.000453752252441496,0.999999796268347
3.01,0.000422171960101334,0.99999980373935
3.02,0.000420525764852556,0.999999798088663
3.03,0.000451915462545715,0.999999778130435
3.04,0.000512683759039364,0.99999974269601
3.05,0.000595895657613825,0.999999690642456
3.06,0.00069518813676288,0.999999620861364
3.07,0.000806006026739619,0.9999995322879
3.08,0.000925344628580941,0.99999942391003
3.09,0.00105123118865158,0.999999294777889
3.1,0.00118232963283478,0.999999144013226
3.11,0.00131769152328227,0.999998970818854
3.12,0.00145660690661599,0.99999877448804
3.13,0.00159851526903587,0.999998554413779
3.14,0.00174295158109407,0.999998310097826
3.15,0.00188951291225335,0.99999804115945
3.16,0.00203783732001419,0.999997747343799
3.17,0.00218759023443465,0.999997428529766
3.18,0.0023384555338349,0.999997084737284
3.19,0.00249012962972832,0.999996716133924
3.2,0.00264231752881023,0.999996323040695
3.21,0.00279473022427111,0.999995905936935
3.22,0.00294708300127733,0.999995465464173
3.23,0.00309909438530198,0.999995002428851
3.24,0.00325048555287211,0.999994517803783
3.25,0.00340098008291422,0.999994012728233
3.26,0.0035503039654386,0.999993488506504
3.27,0.00369818581015469,0.999992946604923
3.28,0.00384435721526517,0.999992388647121
3.29,0.0039885532689601,0.999991816407496
3.3,0.00413051316481645,0.999991231802801
3.31,0.00426998091855541,0.999990636881756
3.32,0.00440670617817681,0.999990033812662
3.33,0.00454044512287809,0.999989424868943
3.34,0.00467096144871038,0.999988812412651
3.35,0.00479802744085395,0.99998819887589
3.36,0.0049214251338623,0.999987586740271
3.37,0.00504094756233332,0.999986978514396
3.38,0.00515640010528357,0.999986376709558
3.39,0.00526760192806895,0.999985783813719
3.4,0.00537438752603364,0.999985202264006
3.41,0.00547660837417908,0.999984634417913
3.42,0.00557413468701568,0.999984082523443
3.43,0.00566685729235856,0.999983548688501
3.44,0.00575468962211089,0.999983034849817
3.45,0.00583756982197674,0.99998254274175
3.46,0.00591546298047313,0.999982073865336
3.47,0.00598836347545713,0.999981629457913
3.48,0.00605629743351246,0.999981210463745
3.49,0.00611932529378407,0.999980817505983
3.5,0.0061775444630172,0.99998045086037
3.51,0.00623109204242978,0.999980110431001
3.52,0.00628014759938345,0.999979795728522
3.53,0.0063249359473757,0.999979505851035
