"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='10'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='10'"
1.93,0.171407108791055,0.267920777323715,0.333455774566842,0.381872562315663,0.420067702563721,0.451590148075615,0.477779208168307,0.500001426485933,0.519488574857794,0.985204135685336,0.963440878123066,0.94276584093319,0.924214746007519,0.907492439135838,0.892225042975112,0.878480036663001,0.8660244151731,0.854477400192054
1.94,0.171386201113697,0.267924920088306,0.333454318299015,0.381867756238668,0.420082265479926,0.451601943517613,0.477762862816004,0.499995131459121,0.5195013861274,0.985207356068803,0.963439728484492,0.942766363621906,0.924216753589454,0.907485719603461,0.892219118505851,0.878488917553842,0.866028061603951,0.854469611749485
1.95,0.171364838868011,0.267929520022222,0.333452140241883,0.381864085996332,0.420098950509301,0.451612758436646,0.477744534964959,0.499989422687095,0.519516348076832,0.985210599146406,0.963438453739933,0.942767135642682,0.92421829694661,0.907478025803127,0.892213698669478,0.878498874494015,0.866031374237435,0.854460515105199
1.96,0.171343071220824,0.267934564035719,0.333449223531525,0.38186168178087,0.42011768708377,0.451622436431495,0.477724430394065,0.499984449519107,0.519533318196523,0.98521386255828,0.963437057757085,0.942768162019003,0.924219321945653,0.907469390469273,0.892208861580048,0.878509795711857,0.866034266517828,0.854450196707358
1.97,0.171320950771331,0.267940035779185,0.333445556967009,0.381860669067573,0.420138381126551,0.451630829974851,0.477702791468456,0.499980356738035,0.519552108911546,0.985217144065204,0.963435545299083,0.942769445942866,0.924219776270324,0.907459857059998,0.892204680652646,0.878521549623869,0.866036654332206,0.854438770435626
1.98,0.171298533498466,0.267945915632403,0.333441135391261,0.3818611671233,0.420160915174088,0.4516378027586,0.477679895254232,0.499977281934189,0.519572489010032,0.985220441483434,0.963433922023214,0.942770988670139,0.924219610043638,0.907449479691844,0.892201223448896,0.878533985860008,0.866038457541156,0.854426376747245
1.99,0.171275878694706,0.267952180714814,0.333435960006395,0.381863287507422,0.420185148755695,0.451643231982881,0.477656051018932,0.499975352900951,0.519594185972499,0.985223752613995,0.963432194473738,0.942772789427476,0.924218776456879,0.907438322957204,0.892198550556739,0.878546936618615,0.86603960150596,0.854413181273002
2,0.171253048886189,0.267958804917574,0.33343003861822,0.381867132579535,0.420210919035799,0.4516470105548,0.47763159712727,0.499974685097495,0.51961688919647,0.985227075167128,0.963430370068677,0.942774845332012,0.924217232399327,0.907426461622308,0.892196714520594,0.878560218345592,0.866040018585418,0.854399372865604
2.01,0.171230109739014,0.267965758958125,0.333423385808723,0.381872794028718,0.420238041721053,0.451649049162525,0.477606897351665,0.499975379223935,0.519640254093335,0.98523040668265,0.963428457080436,0.942777151324969,0.924214939082397,0.907413980204997,0.892195758837967,0.878573633727218,0.866039649574857,0.854385161113774
2.02,0.171207129951708,0.267973010457862,0.333416023038759,0.381880351439342,0.420266312231871,0.451649278190878,0.477582336627294,0.499977518953619,0.519663907016703,0.985233744447088,0.963426464610165,0.942779700120273,0.924211862651608,0.907400972432831,0.892195717038149,0.878586973980763,0.866038445059906,0.854370773346396
