"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
1.98,-1.75202113216597,-4.78905431730164
1.99,-1.70158985919478,-4.89234789046023
2,-1.65355830633265,-4.99422602352455
2.01,-1.6077932145255,-5.0946630075407
2.02,-1.56416998455099,-5.19363597678692
2.03,-1.52257205720388,-5.2911246890835
2.04,-1.4828903416332,-5.38711131998287
2.05,-1.44502268781976,-5.48158027028192
2.06,-1.40887339954752,-5.57451798626507
2.07,-1.37435278455024,-5.66591279206443
2.08,-1.34137673880829,-5.75575473351424
2.09,-1.30986636223515,-5.84403543287577
2.1,-1.27974760323206,-5.93074795381506
2.11,-1.25095092980526,-6.0158866760289
2.12,-1.22341102513662,-6.09944717893022
2.13,-1.19706650567577,-6.18142613382475
2.14,-1.17185965998437,-6.26182120403274
2.15,-1.14773620670996,-6.34063095243366
2.16,-1.12464507020148,-6.4178547559369
2.17,-1.102538172401,-6.49349272640669
2.18,-1.0813702397578,-6.56754563759534
2.19,-1.06109862401384,-6.6400148576641
2.2,-1.04168313580216,-6.71090228689586
2.21,-1.02308589008624,-6.78021030022811
2.22,-1.00527116254565,-6.84794169425801
2.23,-0.988205256085736,-6.91409963839379
2.24,-0.97185637671404,-6.97868762984839
2.25,-0.956194518086774,-7.04170945219146
2.26,-0.94119135408342,-7.10316913719554
2.27,-0.926820138818297,-7.16307092973007
2.28,-0.913055613544132,-7.22141925547515
2.29,-0.899873919945268,-7.27821869124213
2.3,-0.887252519357338,-7.3334739377041
2.31,-0.875170117485839,-7.38718979435365
2.32,-0.863606594229307,-7.43937113651837
2.33,-0.852542938242835,-7.49002289427735
2.34,-0.841961185905839,-7.53915003313356
2.35,-0.831844364383371,-7.58675753630785
2.36,-0.822176438494097,-7.63285038853052
2.37,-0.812942261119771,-7.67743356121583
2.38,-0.804127526911121,-7.72051199891359
2.39,-0.795718729063578,-7.7620906069403
2.4,-0.787703118953502,-7.80217424009948
2.41,-0.780068668441213,-7.84076769240843
2.42,-0.772804034661971,-7.87787568775476
2.43,-0.765898527139452,-7.91350287141226
2.44,-0.759342077069014,-7.94765380235133
2.45,-0.753125208629571,-7.98033294628429
2.46,-0.74723901219386,-8.01154466939082
2.47,-0.741675119316994,-8.04129323267327
2.48,-0.736425679392598,-8.0695827868956
2.49,-0.731483337874625,-8.09641736806362
2.5,-0.726841215971246,-8.12180089340793
2.51,-0.722492891724856,-8.14573715783382
2.52,-0.71843238239956,-8.16822983080598
2.53,-0.714654128104255,-8.18928245363816
2.54,-0.711152976585915,-8.20889843716107
2.55,-0.707924169133668,-8.22708105974359
2.56,-0.704963327540059,-8.2438334656452
2.57,-0.702266442071314,-8.25915866367919
2.58,-0.699829860403554,-8.27305952616814
2.59,-0.697650277486814,-8.28553878817528
2.6,-0.695724726303435,-8.29659904699623
2.61,-0.694050569491825,-8.30624276189786
2.62,-0.692625491810834,-8.31447225409187
2.63,-0.691447493424094,-8.32128970693204
2.64,-0.690514883987553,-8.32669716632524
2.65,-0.689826277527151,-8.33069654134748
2.66,-0.689380588097218,-8.33328960505681
2.67,-0.689177026213529,-8.33447799549623
2.68,-0.689215096058273,-8.33426321688004
2.69,-0.689494593457352,-8.33264664095816
2.7,-0.690015604633318,-8.32962950855326
2.71,-0.690778505740268,-8.32521293126627
2.72,-0.691783963189526,-8.31939789334627
2.73,-0.693032934777682,-8.31218525372119
2.74,-0.694526671630776,-8.30357574818607
2.75,-0.696266720980829,-8.29356999174613
2.76,-0.698254929792816,-8.28216848111217
2.77,-0.700493449262155,-8.269371597346
2.78,-0.702984740204446,-8.25517960865383
2.79,-0.705731579360635,-8.23959267332626
2.8,-0.708737066642079,-8.22261084282318
2.81,-0.712004633340855,-8.20423406500247
2.82,-0.715538051331601,-8.18446218749189
