"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg]","ang_deg(S(FloquetPort2:1,FloquetPort2:1)) [deg]"
4.12,-161.178302200112,164.779486895849
4.13,-164.511982940658,163.338239710729
4.14,-167.827813583203,161.879108326675
4.15,-171.127551511325,160.403884848398
4.16,-174.412929949683,158.914345451271
4.17,-177.685667739533,157.412259322097
4.18,179.052520114321,155.899398207749
4.19,175.799911035706,154.377546673351
4.2,172.554762482673,152.848513209455
4.21,169.315298400163,151.314142369647
4.22,166.079694306484,149.776328168082
4.23,162.846060744957,148.237029022684
4.24,159.612424765239,146.698284597153
4.25,156.37670901716,145.162234976703
4.26,153.136707938717,143.631142713261
4.27,149.890060393388,142.107418401387
4.28,146.634217952475,140.593650603881
4.29,143.3664078157,139.092641145979
4.3,140.083589104371,137.607447052293
4.31,136.78240092835,136.141430728767
4.32,133.459100196789,134.698320416622
4.33,130.109486581004,133.282283498236
4.34,126.728811302232,131.898015959336
4.35,123.311665448142,130.550852266276
4.36,119.851842239404,129.246901181062
4.37,116.342165962112,127.993214718338
4.38,112.774278005935,126.797999693853
4.39,109.1383674046,125.670884318698
4.4,105.422829207089,124.623256314648
4.41,101.613828591082,123.66869438762
4.42,97.6947414896298,122.823521979388
4.43,93.6454332798267,122.10752139579
4.44,89.4413256396696,121.544857861426
4.45,85.0521886091368,121.165276274468
4.46,80.4405827300144,121.00564609527
4.47,75.5598721129018,121.111935099139
4.48,70.3517513074817,121.541673619185
4.49,64.7433180749798,122.366887988834
4.5,58.643969222746,123.677249647817
4.51,51.9429739044756,125.582633111783
4.52,44.5097930890989,128.213100183539
4.53,36.2014363318624,131.712146243201
4.54,26.8842827391381,136.215882421113
4.55,16.4795125599945,141.808819873002
4.56,5.03407023632797,148.453354274048
4.57,-7.20758791646217,155.915838647618
4.58,-19.7924801587077,163.750052273064
4.59,-32.1611880696569,171.394145562896
4.6,-43.8221431094738,178.345826126656
4.61,-54.4788650026325,-175.7040286067
4.62,-64.0431729068157,-170.852647683309
4.63,-72.5712429577657,-167.048014527221
4.64,-80.1887879409747,-164.165067012769
4.65,-87.0391634581303,-162.059339634881
4.66,-93.2567630705453,-160.59473375494
4.67,-98.9570413737336,-159.654068160402
4.68,-104.235031071918,-159.140776884903
4.69,-109.16737542083,-158.976921004638
4.7,-113.815385217945,-159.10010979199
