"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
2.35,-17.8673969613448,-0.0715514106310455
2.36,-17.859930682888,-0.071675566961038
2.37,-17.8476206712851,-0.0718807289516181
2.38,-17.8306317465196,-0.0721648339551769
2.39,-17.8091528691075,-0.0725256375687125
2.4,-17.7833948948165,-0.0729607143200535
2.41,-17.7535881339208,-0.0734674587456727
2.42,-17.7199797762508,-0.0740430869206344
2.43,-17.6828312426445,-0.0746846385011257
2.44,-17.6424155205332,-0.0753889793392232
2.45,-17.5990145366789,-0.0761528047276683
2.46,-17.552916613943,-0.0769726433295587
2.47,-17.5044140518714,-0.0778448618440834
2.48,-17.4538008632641,-0.0787656704546911
2.49,-17.4013706911792,-0.0797311291003906
2.5,-17.3474149233372,-0.0807371546043295
2.51,-17.292221013933,-0.0817795286863945
2.52,-17.2360710166164,-0.0828539068786991
2.53,-17.1792403270174,-0.0839558283535405
2.54,-17.1219966287073,-0.0850807266646521
2.55,-17.0645990329298,-0.086223941392321
2.56,-17.0072973997528,-0.0873807306729092
2.57,-16.9503318264205,-0.0885462845828197
2.58,-16.8939322875272,-0.0897157393363852
2.59,-16.8383184110879,-0.0908841922466849
2.6,-16.783699374544,-0.0920467173875847
2.61,-16.7302739051003,-0.0931983818855221
2.62,-16.6782303694554,-0.0943342627594351
2.63,-16.6277469388717,-0.0954494642183306
2.64,-16.5789918165624,-0.0965391353171682
2.65,-16.5321235154804,-0.0975984878643195
2.66,-16.4872911757463,-0.0986228144669041
2.67,-16.4446349120921,-0.0996075065946249
2.68,-16.4042861828141,-0.100548072538359
2.69,-16.3663681727858,-0.101440155136402
2.7,-16.3309961840893,-0.102279549139579
2.71,-16.2982780287535,-0.103062218086159
2.72,-16.2683144189569,-0.103784310558791
2.73,-16.2411993508538,-0.104442175698722
2.74,-16.2170204789242,-0.105032377857315
2.75,-16.1958594784391,-0.105551710271394
2.76,-16.1777923942743,-0.105997207657345
2.77,-16.16288997492,-0.106366157629252
2.78,-16.151217991111,-0.106656110858398
2.79,-16.1428375390735,-0.10686488990557
2.8,-16.1378053289385,-0.10699059667356
2.81,-16.1361739594331,-0.107031618444924
2.82,-16.1379921805311,-0.106986632489816
2.83,-16.1433051463301,-0.106854609249745
2.84,-16.1521546610491,-0.106634814126266
2.85,-16.1645794216899,-0.106326807927861
2.86,-16.1806152616285,-0.105930446054204
2.87,-16.2002954001715,-0.105445876524004
2.88,-16.2236507039782,-0.104873536980651
2.89,-16.2507099672052,-0.104214150838988
2.9,-16.2815002183135,-0.103468722765821
2.91,-16.3160470627012,-0.102638533716904
2.92,-16.3543750717299,-0.101725135782945
2.93,-16.3965082303048,-0.100730347126953
2.94,-16.4424704570058,-0.0996562473244336
2.95,-16.4922862128346,-0.0985051734461916
2.96,-16.5459812169696,-0.0972797172504426
2.97,-16.6035832904633,-0.0959827238763471
2.98,-16.6651233514669,-0.0946172924542414
2.99,-16.7306365881283,-0.0931867790686559
3,-16.8001638373408,-0.0916948025280463
3.01,-16.8738117084714,-0.0901480716060562
3.02,-16.9515090781346,-0.0885221875019606
3.03,-17.0297888768617,-0.0869250278491539
3.04,-17.1186610854567,-0.0851468882764126
3.05,-17.2085625246561,-0.0833638207977156
3.06,-17.3025647577645,-0.0815490795508505
3.07,-17.4007346070523,-0.0797028073087895
3.08,-17.5031178309461,-0.0778278409710017
3.09,-17.6097585818599,-0.0759269591511322
3.1,-17.7207024301398,-0.074002713161415
3.11,-17.8359972025983,-0.0720575291146945
3.12,-17.9556932592335,-0.0700938326169059
3.13,-18.0798435246151,-0.0681141501747114
3.14,-18.2085033468526,-0.0661211787699381
3.15,-18.3417301930091,-0.0641178248149976
3.16,-18.4795831670144,-0.0621072168567387
3.17,-18.6221223245454,-0.0600926974283542
3.18,-18.769407750801,-0.0580777995940625
3.19,-18.9214983589146,-0.0560662134190634
3.2,-19.078450357858,-0.0540617470233362
3.21,-19.2403153285424,-0.0520682861574207
3.22,-19.4071378351035,-0.0500897554516824
3.23,-19.5789524848343,-0.048130083697511
3.24,-19.7557803347724,-0.0461931747649781
3.25,-19.9376245255695,-0.044282885078136
3.26,-20.124465004169,-0.0424030079773027
3.27,-20.3162521765463,-0.0405572648085293
3.28,-20.5128993113645,-0.0387493021966138
3.29,-20.7142734967039,-0.0369826946764397
3.3,-20.9201849379777,-0.0352609516704454
3.31,-21.1303743803291,-0.0335875276968092
3.32,-21.3444984499846,-0.0319658346609093
3.33,-21.5621127459682,-0.0303992551092399
3.34,-21.7826525896926,-0.0288911553970873
3.35,-22.0054114730581,-0.0274448978271546
3.36,-22.229517458134,-0.0260638509453497
3.37,-22.4539080992057,-0.0247513973225529
3.38,-22.6773049074822,-0.0235109382997815
3.39,-22.8981889808476,-0.022345895322225
3.4,-23.1147801793233,-0.0212597076302908
3.41,-23.3250231102674,-0.020255826209186
3.42,-23.526584106612,-0.0193377040200531
3.43,-23.7168641645373,-0.0185087826435845
3.44,-23.8930331838028,-0.0177724755603577
3.45,-24.0520904711887,-0.0171321483704081
3.46,-24.1909549619217,-0.0165910963181558
3.47,-24.3065857708138,-0.0161525195380539
3.48,-24.3961296808917,-0.0158194964720251
3.49,-24.4570878176569,-0.015594955933065
3.5,-24.4874903272064,-0.0154816483010877
3.51,-24.4860653392266,-0.0154821163387537
3.52,-24.4523793906844,-0.0155986661073705
3.53,-24.3868905824286,-0.0158333384475607
3.54,-24.2908090349131,-0.0161878814671921
3.55,-24.1657815360038,-0.0166637244511466
3.56,-24.013738713943,-0.0172619535749706
3.57,-23.8370556748398,-0.0179832897682032
3.58,-23.6386201842681,-0.0188280690341192
3.59,-23.4216287414277,-0.0197962254915301
3.6,-23.1893281018888,-0.0208872773619642
3.61,-22.9448403378017,-0.0221003160826241
3.62,-22.6910666577292,-0.0234339986825905
3.63,-22.4306385508667,-0.0248865435174277
3.64,-22.1658971499654,-0.0264557294161504
3.65,-21.8988910995915,-0.0281388982546876
3.66,-21.6313870124628,-0.0299329609324287
3.67,-21.3648881248159,-0.0318344066928052
3.68,-21.100657703362,-0.0338393156961841
3.69,-20.83974457233,-0.0359433747234493
3.7,-20.5830088667689,-0.0381418958618787
3.71,-20.3311467458771,-0.0404298380015996
3.72,-20.084713297629,-0.0428018309509721
3.73,-19.8441432358758,-0.0452522019629254
3.74,-19.6097692501681,-0.0477750044516675
3.75,-19.3818380389887,-0.0503640486699702
3.76,-19.1605241609423,-0.0530129341117676
3.77,-18.945941894761,-0.0557150834026355
3.78,-18.7381553229567,-0.0584637774415655
3.79,-18.5371868570072,-0.0612521915616166
3.8,-18.3430244123333,-0.0640734324829899
3.81,-18.1556274246887,-0.0669205758409154
3.82,-17.9749318797434,-0.0697867040802687
3.83,-17.8008545069797,-0.0726649445195474
3.84,-17.6332962690136,-0.0755485073970815
3.85,-17.4721452588711,-0.0784307237208833
3.86,-17.3172791009652,-0.0813050827487199
3.87,-17.1685669365914,-0.0841652689234877
3.88,-17.0258710615536,-0.0870051980762281
3.89,-16.8890482717221,-0.0898190526766109
3.9,-16.757950961334,-0.0926013158438554
3.91,-16.6324280075908,-0.0953468036997376
3.92,-16.5123254612797,-0.0980506953943501
3.93,-16.3974870411121,-0.100708559645142
3.94,-16.2877543835931,-0.103316375661186
3.95,-16.1829668807438,-0.105870544408023
3.96,-16.0829605583127,-0.108367882748869
3.97,-15.9875639347438,-0.110805591086405
3.98,-15.8965804673974,-0.113181236937598
3.99,-15.8096635899262,-0.115493723453224
4,-15.7260894830909,-0.117776674406162
4.01,-15.6491012418958,-0.119921327823932
4.02,-15.5744976958678,-0.122018700288528
4.03,-15.5019392120272,-0.124071152595461
4.04,-15.4315595471173,-0.126087828440565
4.05,-15.3648645007678,-0.128098072273998
4.06,-15.3041040464558,-0.130222322593655
4.07,-15.2491635924784,-0.133548255887494
4.08,-15.1978530417134,-0.133244538315007
4.09,-15.1487179576658,-0.134293219688444
4.1,-15.1013976326996,-0.135960853847659
4.11,-15.0559412873198,-0.137530177238863
4.12,-15.0124529126015,-0.139012500279872
4.13,-14.9710026160927,-0.140418072331683
4.14,-14.9316223295486,-0.141752343649995
4.15,-14.8943175969183,-0.143018402969614
4.16,-14.8590786372966,-0.144218133161098
4.17,-14.8258882303416,-0.145352715568252
4.18,-14.7947269988868,-0.146422854242032
4.19,-14.7655769485828,-0.147428875090769
4.2,-14.7384239068334,-0.148370766209249
4.21,-14.7132592799551,-0.149248189417958
4.22,-14.6900813930308,-0.150060477349364
4.23,-14.6688965760884,-0.150806623276941
4.24,-14.6497200819248,-0.151485268172125
4.25,-14.632576940625,-0.152094690168538
4.26,-14.617507273005,-0.152632755413454
4.27,-14.6052488706809,-0.153090617612273
4.28,-14.5948158761026,-0.153433897657305
4.29,-14.5860839777697,-0.153760908237815
4.3,-14.5805152003884,-0.1539623941013
4.31,-14.5789786688718,-0.154017109034859
4.32,-14.5954229304052,-0.153424167777215
4.33,-14.5572800057455,-0.154802849660577
4.34,-14.5692926709182,-0.154380465881896
4.35,-14.5771900864863,-0.154081874125268
4.36,-14.5869646475769,-0.153713511626278
4.37,-14.5994124880699,-0.153281408851037
4.38,-14.6149669840006,-0.152724165897109
4.39,-14.6341205086975,-0.152039669235292
4.4,-14.6580538743595,-0.15118888168166
4.41,-14.6951557817252,-0.149881409249547
4.42,-14.6789752053117,-0.150453349506502
4.43,-14.7279841927542,-0.14873250269502
4.44,-14.7666957393871,-0.147390623096169
4.45,-14.8075217693384,-0.145989330525816
4.46,-14.8517917363138,-0.144485253975893
4.47,-14.8999244836676,-0.142867522290387
4.48,-14.9521220548262,-0.141133171932875
4.49,-15.0085014374956,-0.139282441559065
4.5,-15.0691301605504,-0.137317452241045
4.51,-15.1344423107374,-0.135173917215863
4.52,-15.2045442553523,-0.132987650092237
4.53,-15.2795269445716,-0.130725007747581
4.54,-15.3595217303495,-0.128362380734646
4.55,-15.4447486443347,-0.125883142271791
4.56,-15.5356472111127,-0.123272293821344
4.57,-15.633304799018,-0.120502778940922
4.58,-15.7414069409706,-0.117478708741285
4.59,-15.8846812124186,-0.113497366050314
4.6,-15.7504110478247,-0.117118815747076
4.61,-15.9870455106634,-0.110822391257712
4.62,-16.1292472901296,-0.107206266444232
4.63,-16.2524368516743,-0.104171832165794
4.64,-16.3780567335911,-0.101140476704395
4.65,-16.5062227768145,-0.0981484438533636
4.66,-16.6370197296344,-0.0951979982494115
4.67,-16.7702942191151,-0.0922934200213515
4.68,-16.9057434861712,-0.0894399647828063
4.69,-17.042960757117,-0.0866431438101136
4.7,-17.1814566878716,-0.0839087657181551
4.71,-17.3206705975905,-0.0812434601936207
4.72,-17.4599776848202,-0.0786555240511265
4.73,-17.5986951281731,-0.0761560048811794
4.74,-17.7360885759684,-0.0737599707310741
4.75,-17.8713798952837,-0.0714879280736698
4.76,-18.0043411621987,-0.0693150015984507
4.77,-18.1332044681573,-0.0673961701304257
4.78,-18.1299079744223,-0.0673641684526369
4.79,-18.3781817263291,-0.0635568983208601
4.8,-18.5030297032302,-0.0617435804066099
4.81,-15.7991171116585,-0.120678172603727
4.82,-18.6287474160202,-0.0599672458096831
4.83,-18.7233451822217,-0.0586669520695913
4.84,-18.7071983974589,-0.0588928481134762
4.85,-18.8839904941503,-0.056537185275169
4.86,-18.92581269328,-0.055980574893683
4.87,-18.9635769289826,-0.0554917359310245
4.88,-18.9916246898093,-0.0550012779896949
4.89,-19.0082393032438,-0.0546552886705396
4.9,-19.0128631113329,-0.0545663228563204
4.91,-19.0047554621607,-0.0547603498972582
4.92,-18.982080643975,-0.0552532144039249
4.93,-18.9362311643969,-0.0565145008028831
4.94,-18.9038919193632,-0.0563528688450175
4.95,-18.8689396947584,-0.0567212366839068
4.96,-18.8036744521181,-0.0575868017102017
4.97,-18.7393408393476,-0.0584819551048668
4.98,-18.6669890511589,-0.0594392785284906
4.99,-18.5863073809085,-0.0605154703670732
5,-18.4990004180971,-0.0617998149564438
