"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []","im(Gamma(1:4)) []","im(Gamma(1:6)) []"
3.16,51.2994671892868,0,0,0,0
3.17,51.5697612844819,0,0,0,0
3.18,51.8394933935441,0,0,0,0
3.19,52.1086722435649,0,0,0,0
3.2,52.377306364516,0,0,0,0
3.21,52.645404095178,0,0,0,0
3.22,52.912973588846,0,0,0,0
3.23,53.1800228188215,0,0,0,0
3.24,53.4465595836996,0,0,0,0
3.25,53.7125915124624,0,0,0,0
3.26,53.9781260693854,0,0,0,0
3.27,54.2431705587662,0,0,0,0
3.28,54.5077321294829,0,0,0,0
3.29,54.7718177793894,0,0,0,0
3.3,55.0354343595555,0,0,0,0
3.31,55.2985885783567,0,0,0,0
3.32,55.5612870054223,0,0,0,0
3.33,55.8235360754455,0,0,0,0
3.34,56.0853420918636,0,0,0,0
3.35,56.3467112304105,0,0,0,0
3.36,56.6076495425511,0,0,0,0
3.37,56.8681629587982,0,0,0,0
3.38,57.128257291919,0,0,0,0
3.39,57.3879382400352,0,0,0,0
3.4,57.6472113896206,0,0,0,0
3.41,57.9060822184011,0,0,0,0
3.42,58.1645560981598,0,0,0,0
3.43,58.4226382974515,0,0,0,0
3.44,58.6803339842305,0,0,0,0
3.45,58.9376482283944,0,0,0,0
3.46,59.194586004247,0,0,0,0
3.47,59.4511521928848,0,0,0,0
3.48,59.7073515845077,0,0,0,0
3.49,59.9631888806593,0,0,0,0
3.5,60.2186686963963,0,0,0,0
3.51,60.4737955623935,0,0,0,0
3.52,60.7285739269838,0,0,0,0
3.53,60.9830081581354,0,0,0,0
3.54,61.237102545372,0,0,0,0
3.55,61.4908613016335,0,0,0,0
3.56,61.7442885650826,0,0,0,0
3.57,61.9973884008572,0,0,0,0
3.58,62.2501648027732,0,0,0,0
3.59,62.5026216949755,0,0,0,0
3.6,62.7547629335428,0,0,0,0
3.61,63.006592308045,0,0,0,0
3.62,63.2581135430575,0,0,0,0
3.63,63.5093302996312,0,0,0,0
3.64,63.7602461767209,0,0,0,0
3.65,64.0108647125751,0,0,0,0
3.66,64.2611893860847,0,0,0,0
3.67,64.5112236180962,0,0,0,0
3.68,64.7609707726876,0,0,0,0
3.69,65.0104341584096,0,0,0,0
3.7,65.2596170294926,0,0,0,0
3.71,65.5085225870215,0,0,0,0
3.72,65.7571539800779,0,0,0,0
3.73,66.0055143068529,0,0,0,0
3.74,66.2536066157292,0,0,0,0
3.75,66.5014339063341,0,0,0,0
3.76,66.7489991305666,0,0,0,0
3.77,66.9963051935953,0,0,0,0
3.78,67.2433549548315,0,0,0,0
3.79,67.490151228877,0,0,0,0
3.8,67.7366967864467,0,0,0,0
3.81,67.9829943552686,0,0,0,0
3.82,68.2290466209595,0,0,0,0
3.83,68.4748562278795,0,0,0,0
3.84,68.7204257799644,0,0,0,0
3.85,68.9657578415371,0,0,0,0
3.86,69.2108549380992,0,0,0,0
3.87,69.4557195571019,0,0,0,0
3.88,69.7003541486992,0,0,0,0
3.89,69.9447611264812,0,0,0,0
3.9,70.1889428681902,0,0,0,0
3.91,70.432901716419,0,0,0,0
3.92,70.6766399792925,0,0,0,0
3.93,70.9201599311326,0,0,0,0
3.94,71.1634638131076,0,0,0,0
3.95,71.4065538338647,0,0,0,0
3.96,71.6494321701498,0,0,0,0
3.97,71.8921009674101,0,0,0,0
3.98,72.1345623403844,0,0,0,0
3.99,72.3768183736785,0,0,0,0
4,72.6188711223274,3.07298659421194,3.0711530967314,0,0
4.01,72.860722612345,6.68039692833322,6.6795537167868,0,0
4.02,73.10237484126,8.93868060504915,8.93805044147975,0,0
4.03,73.3438297786405,10.7359289362959,10.735404270942,0,0
4.04,73.5850893666063,12.2763260228147,12.275867193555,0,0
4.05,73.826155520329,13.6471257940563,13.6467130538514,0,0
4.06,74.0670301285213,14.8952259327035,14.8948477777264,0,0
4.07,74.3077150539154,16.0492778672713,16.0489269048197,0,0
4.08,74.54821213373,17.1283021885594,17.1279733359779,0,0
4.09,74.7885231801273,18.1456882754953,18.1453778612299,0,0
4.1,75.0286499806601,19.1112825693991,19.1109878390095,0,0
4.11,75.268594298708,20.0325757512732,20.0322945756561,0,0
4.12,75.508357873905,20.9154228343752,20.9151535274323,0,0
4.13,75.7479424225571,21.764502860806,21.7642440602331,0,0
4.14,75.9873496380514,22.5836247874978,22.5833753738859,0,0
4.15,76.2265811912553,23.3759381337744,23.3756971739756,0,0
4.16,76.465638730908,24.1440822988312,24.1438490052456,0,0
4.17,76.7045238840028,24.8902950524607,24.8900687530972,0,0
4.18,76.9432382561618,25.6164930634832,25.6162731795013,0,0
4.19,77.1817834320024,26.3243327982218,26.3241188267888,0,0
4.2,77.4201609754959,27.015257337266,27.015048838269,0,0
4.21,77.6583724303181,27.6905328957931,27.6903294813977,0,0
4.22,77.8964193201934,28.3512776861011,28.3510790124427,0,0
4.23,78.134303149231,28.9984849973743,28.9982907578757,0,0
4.24,78.3720254022544,29.6330418482241,29.6328517681637,0,0
4.25,78.6095875451231,30.2557442073631,30.2555580394203,0,0
4.26,78.8469910250497,30.8673095236899,30.8671270442624,0,0
4.27,79.0842372709081,31.4683871249909,31.4682081311227,0,0
4.28,79.3213276935367,32.059566912116,32.0593912189204,0,0
4.29,79.5582636860351,32.641386678015,32.6412141164977,0,0
4.3,79.7950466240548,33.2143383083582,33.2141687235648,0,0
4.31,80.0316778660836,33.7788730656838,33.7787063151171,0,0
4.32,80.268158753725,34.3354061173041,34.335242069564,0,0
4.33,80.5044906119711,34.8843204351173,34.8841589687253,0,0
4.34,80.7406747494707,35.4259701705797,35.4258111729593,0,0
4.35,80.9767124587915,35.9606835886192,35.9605269552068,0,0
4.36,81.2126050166776,36.4887656289151,36.4886112623823,0,0
4.37,81.4483536843017,37.0105001507697,37.0103479603405,0,0
4.38,81.6839597075121,37.5261519080423,37.5260018088902,0,0
4.39,81.9194243170747,38.0359682927611,38.0358202054759,0,0
4.4,82.1547487289111,38.540180879668,38.5400347297831,0,0
4.41,82.3899341443312,39.0390067987678,39.0388625163387,0,0
4.42,82.6249817502616,39.5326499587121,39.5325074779405,0,0
4.43,82.8598927194697,40.0213021403479,40.0211613992444,0,0
4.44,83.0946682107829,40.5051439768714,40.5050049169538,0,0
4.45,83.3293093693046,40.9843458346266,40.9842084006467,0,0
4.46,83.5638173266252,41.4590686065738,41.4589327462725,0,0
4.47,83.7981932010292,41.9294644287763,41.9293300926617,1.78177522754978,0
4.48,84.0324380976988,42.3956773288337,42.3955444699787,6.51829669837699,0
4.49,84.266553108913,42.8578438139888,42.8577123878493,9.04928240590049,0
4.5,84.5005393142438,43.3160934056276,43.3159633698757,11.0171994446202,0
4.51,84.7343977807476,43.7705491260158,43.7704204403879,12.6868320108075,0
4.52,84.9681295631544,44.2213279423856,44.2212005685437,14.1640594698517,0
4.53,85.2017357040522,44.6685411728452,44.6684150742504,15.503977108718,0
4.54,85.4352172340683,45.1122948580478,45.1121699998438,16.7395902888013,0
4.55,85.668575172048,45.5526901020768,45.5525664509828,17.8925210971882,0
4.56,85.9018105252291,45.9898233856075,45.9897009098202,18.9778447331843,0
4.57,86.1349242894135,46.4237868540472,46.4236655231507,20.0065669605631,0
4.58,86.367917449136,46.8546685830534,46.8545483679347,20.9870127389596,0
4.59,86.6007909778291,47.2825528235591,47.2824336963318,21.9256593330768,0
4.6,86.8335458379862,47.7075202282057,47.7074021621385,22.8276635248145,0
4.61,87.0661829813205,48.129648060876,48.1295310303263,23.6972099231381,0
4.62,87.2987033489217,48.5490103908414,48.5488943711944,24.5377493998027,0
4.63,87.5311078714099,48.9656782728822,48.9655632404934,25.3521672525424,0
4.64,87.7633974690867,49.3797199145954,49.3796058467384,26.1429048600452,0
4.65,87.9955730520831,49.7912008319893,49.791087706806,26.9120496426597,0
4.66,88.2276355205058,50.2001839943463,50.2000717908011,27.6614028701313,0
4.67,88.4595857645799,50.6067299592463,50.6066186570831,28.3925316385411,0
4.68,88.6914246647896,51.0108969985536,51.0107865782562,29.1068093111308,0
4.69,88.9231530920162,51.4127412160949,51.4126316588492,29.8054474053087,0
4.7,89.1547719076738,51.8123166576862,51.8122079453454,30.4895210377899,0
4.71,89.3862819638432,52.2096754141096,52.2095675291611,31.1599894500009,0
4.72,89.6176841034019,52.6048677175804,52.6047606431157,31.8177127283156,0
4.73,89.8489791601535,52.9979420322026,52.9978357518877,32.4634655470761,0
4.74,90.0801679589542,53.388945138862,53.3888396369107,33.097948557545,0
4.75,90.3112513158368,53.7779222149687,53.7778174761173,33.7217978974537,0
4.76,90.5422300381328,54.1649169094273,54.16481291891,34.3355931867012,0
4.77,90.7731049245933,54.549971413175,54.5498681567021,34.9398642936074,0
4.78,91.003876765506,54.9331265256074,54.9330239893431,35.5350970950676,0
4.79,91.2345463428119,55.3144217171769,55.3143198877203,36.1217384075459,0
4.8,91.4651144302193,55.6938951884326,55.6937940527979,36.7002002302113,0
4.81,91.6955817933158,56.0715839257432,56.0714834713423,37.2708634139208,0
4.82,91.9259491896783,56.4475237539285,56.447423968554,37.8340808481956,0
4.83,92.1562173689822,56.8217493860063,56.8216502578151,38.3901802413531,0
4.84,92.3863870731073,57.1942944702442,57.1941959877431,38.9394665554948,0
4.85,92.6164590362427,57.5651916346939,57.5650937867245,39.4822241472857,0
4.86,92.8464339849903,57.9344725293686,57.9343753050944,40.0187186568193,0
4.87,93.0763126384659,58.3021678662161,58.3020712551089,40.5491986798497,0
4.88,93.3060957083985,58.6683074570234,58.6682114488518,41.0738972529916,0
4.89,93.5357838992293,59.0329202493857,59.032824834203,41.5930331768172,0
4.9,93.7653779082075,59.3960343608558,59.395939528989,42.1068121979502,0
4.91,93.994878425485,59.7576771113864,59.757582853426,42.6154280680858,0
4.92,94.2242861342105,60.1178750541682,60.1177813609579,43.1190634952345,0
4.93,94.4536017106207,60.4766540049593,60.4765608675869,43.6178910002886,0
4.94,94.6828258241307,60.8340390699951,60.8339464797825,44.1120736901721,0
4.95,94.9119591374233,61.1900546725602,61.1899626210563,44.6017659572847,0
4.96,95.1410023065359,61.5447245783038,61.544633057275,45.087114113644,0
4.97,95.3699559809468,61.8980719193639,61.8979809207869,45.5682569670184,0
4.98,95.5988208036602,62.2501192173745,62.2500287334287,46.0453263454048,0
4.99,95.8275974112888,62.6008884054136,62.6007984284737,46.5184475753924,0
5,96.0562864341366,62.9504008489532,62.9503113715829,46.9877399192744,0
5.01,96.2848884962789,63.2986773658648,63.2985883808099,47.4533169751634,0
5.02,96.513404215642,63.6457382455331,63.6456497457154,47.9152870438694,0
5.03,96.7418342040821,63.991603267125,63.9915152456361,48.3737534658476,0
5.04,96.9701790674609,64.3362917170584,64.3362041671546,48.8288149311441,0
5.05,97.1984394057223,64.6798224057154,64.6797353208115,49.2805657649378,0
5.06,97.4266158129668,65.0222136834361,65.022127057101,49.7290961909818,0
5.07,97.6547088775248,65.3634834558343,65.3633972817852,50.1744925749987,0
5.08,97.8827191820289,65.7036491984648,65.7035634705628,50.6168376498612,0
5.09,98.1106473034851,66.0427279708815,66.0426426831272,51.0562107241943,0
5.1,98.338493813343,66.3807364301112,66.3806515766398,51.4926878758662,0
5.11,98.5662592775645,66.7176908435765,66.7176064186539,51.9263421316825,0
5.12,98.7939442566919,67.0536071014925,67.0535230995113,52.357243634466,0
5.13,99.021549305915,67.3885007287649,67.38841714424,52.7854597985869,0
5.14,99.2490749751365,67.7223868964117,67.7223037239774,53.2110554549029,0
5.15,99.4765218090375,68.0552804325345,68.05519766694,53.6340929859768,0
5.16,99.7038903471408,68.3871958328582,68.3871134689646,54.0546324523549,0
5.17,99.9311811238743,68.7181472708598,68.7180653036371,54.4727317106188,0
5.18,100.158394668633,69.0481486075085,69.0480670320317,54.8884465238548,0
5.19,100.385531505839,69.3772134006313,69.3771322120774,55.3018306651254,0
5.2,100.612592155003,69.705354913923,69.705274107569,55.7129360144793,0
5.21,100.839577130784,70.0325861256197,70.0325056968384,56.1218126499833,0
5.22,101.066486943046,70.3589197368453,70.3588396811033,56.5285089332217,0
5.23,101.293322096915,70.684368179651,70.6842884925059,56.9330715896651,0
