"Freq [GHz]","re(Zo(backport:1)) []","re(Zo(backport:2)) []","re(Zo(backport:3)) []","re(Zo(backport:4)) []","re(Zo(backport:6)) []"
4.95,254.008768591255,1572.96071087673,393.788815719497,337.780889556611,0
4.96,253.909180193595,1567.05595482719,392.310562028995,334.820660173641,0
4.97,253.8103083162,1561.25221436237,390.857597612655,331.954086308996,0
4.98,253.712145826854,1555.54683686849,389.429258386451,329.17650574197,0
4.99,253.614685684993,1549.9372646128,388.024904019941,326.483572368333,0
5,253.517920940258,1544.42103044794,386.643916860876,323.87122846153,0
5.01,253.421844731062,1538.99575375117,385.285700918562,321.335687077353,0
5.02,253.326450283197,1533.65913658338,383.949680902272,318.873396224377,0
5.03,253.231730908461,1528.40896005393,382.635301311141,316.481032225188,0
5.04,253.137680003311,1523.24308087846,381.342025572453,314.1554775724,0
5.05,253.044291047543,1518.15942811773,380.069335225184,311.893802456667,0
5.06,252.951557602992,1513.15600008635,378.816729146089,309.693253555048,0
5.07,252.859473312264,1508.23086142096,377.583722815737,307.551239274447,0
5.08,252.768031897483,1503.38214029843,376.369847622045,305.465317909396,0
5.09,252.677227159075,1498.60802579481,375.174650199133,303.43318704785,0
5.1,252.587052974539,1493.90676537717,373.99769179935,301.452672959718,0
5.11,252.497503297317,1489.27666251962,372.838547696545,299.521722852581,0
5.12,252.40857215556,1484.71607443802,371.69680661876,297.638393141393,0
5.13,252.320253651057,1480.22340993401,370.572070208678,295.800846747033,0
5.14,252.232541958083,1475.79712734457,369.463952510174,294.007342550592,0
5.15,252.14543132231,1471.43573258962,368.372079479563,292.25622847124,0
5.16,252.058916059728,1467.13777731261,367.296088520096,290.545939744998,0
5.17,251.972990555585,1462.90185710904,366.23562803846,288.874988464306,0
5.18,251.887649263351,1458.72660983778,365.190357022017,287.241961420299,0
5.19,251.802886703696,1454.61071401085,364.159944635691,285.645514727685,0
5.2,251.718697463486,1450.55288725738,363.144069837403,284.084369548186,0
5.21,251.635076194798,1446.55188485763,362.14242101107,282.55730815023,0
5.22,251.552017613956,1442.60649834347,361.154695616226,281.063170164099,0
5.23,251.469516500578,1438.71555416164,360.180599853384,279.600849161834,0
5.24,251.387567696641,1434.87791239671,359.21984834431,278.169289517504,0
5.25,251.30616610557,1431.09246555041,358.272163826435,276.767483448119,0
5.26,251.22530669133,1427.35813737453,357.337276860668,275.394468271256,0
5.27,251.144984477546,1423.67388175462,356.414925551922,274.049323852111,0
5.28,251.06519454663,1420.03868164183,355.504855281718,272.731170224674,0
5.29,250.985932038928,1416.45154803063,354.606818452231,271.439165373059,0
5.3,250.907192151881,1412.91151897988,353.720574241234,270.172503156973,0
5.31,250.828970139186,1409.41765867528,352.845888367373,268.930411407343,0
5.32,250.751261310046,1405.96905653108,351.982532865277,267.712150040467,0
5.33,250.674061028245,1402.56482632913,351.130285870011,266.517009472797,0
5.34,250.597364711506,1399.20410539332,350.288931410432,265.344308858081,0
5.35,250.521167830624,1395.88605379812,349.458259210998,264.193394970769,0
5.36,250.44546590877,1392.60985360901,348.638064501636,263.063640316259,0
5.37,250.370254520702,1389.37470815375,347.828147835287,261.954442178956,0
5.38,250.295529292057,1386.17984132257,347.028314912764,260.865221273798,0
5.39,250.221285898627,1383.02449689685,346.238376414573,259.795420602034,0
5.4,250.14752006565,1379.90793790343,345.458147839379,258.744504364537,0
5.41,250.074227567116,1376.82944599494,344.687449348812,257.711956936322,0
5.42,250.001404225083,1373.78832085396,343.926105618306,256.697281895023,0
5.43,249.929045909006,1370.78387962029,343.173945693724,255.700001086731,0
5.44,249.857148535076,1367.81545634023,342.430802853471,254.719653662195,0
5.45,249.785708065567,1364.8824014369,341.696514475877,253.755794506504,0
5.46,249.714720508201,1361.98408120081,340.970921911544,252.808619557971,0
5.47,249.644181915514,1359.11987763116,340.253870339932,251.875862576799,0
5.48,249.57408838424,1356.28918663969,339.545208734205,250.958966644977,0
5.49,249.504436054732,1353.49141957714,338.844789622381,250.056936386334,0
5.5,249.435221110295,1350.72600147455,338.152469061837,249.169400469386,0
5.51,249.366439776619,1347.99237095088,337.468106512664,248.296000212852,0
5.52,249.298088321169,1345.28997980178,336.79156473682,247.436389040784,0
5.53,249.230163052469,1342.61829258382,336.122709705825,246.590231965747,0
5.54,249.16266031808,1339.97678590947,335.461410804366,245.757205098466,0
5.55,249.0955765301,1337.3649515079,334.807539008156,244.936995182396,0
5.56,249.02890807208,1334.78228580927,334.160970584646,244.129299151791,0
5.57,248.962651445501,1332.22830347207,333.521582908247,243.333823711883,0
5.58,248.896803150404,1329.70252730955,332.889256615999,242.550284939925,0
5.59,248.831359731172,1327.20449115576,332.263875015932,241.778407905874,0
5.6,248.76631776921,1324.73373911908,331.645324039808,241.017926290233,0
5.61,248.701673884329,1322.2898256901,331.033492123359,240.268582072613,0
5.62,248.637424732836,1319.87231517751,330.428270166272,239.530125214022,0
5.63,248.573567006725,1317.48078138081,329.829551469284,238.802313329649,0
5.64,248.510097433551,1315.11480739416,329.237231660052,238.084911278864,0
5.65,248.447012775995,1312.77398535677,328.651208628604,237.377691214933,0
5.66,248.384309831336,1310.45791618542,328.071382495483,236.680431824923,2084.86785405486
5.67,248.32198543104,1308.16620937258,327.49765542126,235.992918819029,1336.63292066107
5.68,248.260036440314,1305.89848270021,326.929931768621,235.314943457954,1061.39894265624
5.69,248.198459757633,1303.65436205475,326.368117873822,234.646303688374,907.648018137707
5.7,248.137252314329,1301.43348120189,325.812122049523,233.986802960048,806.259450875328
5.71,248.076411074183,1299.23548157623,325.261854528926,233.336250676313,733.016375137967
5.72,248.015933031968,1297.06001259636,324.71722735523,232.694461400759,676.943833428801
5.73,247.955815216901,1294.90672945508,324.178154561448,232.061254846182,632.252051970546
5.74,247.896054686685,1292.77529585715,323.644551790192,231.436456395419,595.559970700634
5.75,247.836648530666,1290.66538194549,323.116336461708,230.819894971171,564.743376330139
5.76,247.777619535909,1288.57757053517,322.593654483192,230.21166910661,538.402420541209
5.77,247.718887850052,1286.50882715376,322.075746179376,229.610827272518,515.526947904191
5.78,247.660527664931,1284.4615602524,321.563214227849,229.018003166322,495.446493486633
5.79,247.602510501808,1282.43455832734,321.05575585706,228.432780927457,477.631149571913
5.8,247.544833607744,1280.42752418109,320.55329640733,227.855012255477,461.687726807251
5.81,247.487494248701,1278.44016572548,320.055762761943,227.284552700622,447.31229995191
5.82,247.430489718783,1276.47219670846,319.563083250278,226.721261410586,434.265743781512
5.83,247.373817339885,1274.52333643721,319.075187603417,226.165001842985,422.356994774972
5.84,247.317474461332,1272.59330970578,318.592006923633,225.615640391241,411.431310875002
5.85,247.261458459545,1270.6818466469,318.113473649685,225.073047132794,401.361849374522
