"Freq [GHz]","im(Zo(backport:1)) []","im(Zo(backport:2)) []","im(Zo(backport:3)) []","im(Zo(backport:4)) []","im(Zo(backport:6)) []"
2.11,0,576.622441389214,144.356446066335,77.7861924929775,41.5469593403421
2.12,0,580.421298610946,145.307483050112,78.2615682177706,41.7760005346962
2.13,0,584.241253734166,146.26380184612,78.7389012495444,42.0055727766901
2.14,0,588.082603684244,147.225476788876,79.2182144331907,42.2356806411393
2.15,0,591.945650787433,148.19258356499,79.6995308882113,42.4663287434762
2.16,0,595.83070290257,149.165199246139,80.1828740670459,42.6975217402882
2.17,0,599.738073556699,150.143402323019,80.668267759664,42.9292643298645
2.18,0,603.668082084767,151.127272740318,81.1557360999825,43.1615612527521
2.19,0,607.621053773525,152.11689193274,81.64530357261,43.3944172923207
2.2,0,611.597320009795,153.112342862126,82.1369950197891,43.6278372753355
2.21,0,615.597218433252,154.113710055697,82.6308356485153,43.8618260725399
2.22,0,619.621093093895,155.121079645485,83.1268510378319,44.0963885992472
2.23,0,623.669294614365,156.13453940896,83.6250671463031,44.331529815941
2.24,0,627.742180357558,157.154178810938,84.1255103196704,44.5672547288853
2.25,0,631.840114598143,158.18008904678,84.6282072986965,44.8035683907448
2.26,0,635.963468702457,159.212363086953,85.1331852272026,45.0404759012141
2.27,0,640.112621310402,160.251095723,85.6404716603045,45.2779824076573
2.28,0,644.287958525651,161.296383614963,86.1500945728529,45.5160931057584
2.29,0,648.489874111017,162.348325340327,86.6620823680854,45.7548132401806
2.3,0,652.718769690221,163.40702144453,87.1764638864938,45.994148105238
2.31,0,656.975054956185,164.472574493111,87.6932684149159,46.2341030455764
2.32,0,661.2591478861,165.545089125552,88.2125256958563,46.4746834568663
2.33,0,665.571474963527,166.624672110876,88.7342659370444,46.7158947865067
2.34,0,669.912471407806,167.711432405083,89.2585198212362,46.95774253434
2.35,0,674.282581411064,168.805481210485,89.7853185162683,47.2002322533794
2.36,0,678.682258383122,169.90693203701,90.3146936853742,47.4433695505472
2.37,0,683.111965204599,171.015900765578,90.8466774977761,47.6871600874258
2.38,0,687.572174488577,172.132505713595,91.3813026395664,47.9316095810214
2.39,0,692.063368851119,173.256867702687,91.9186023248896,48.1767238045392
2.4,0,696.586041191057,174.389110128737,92.4586103074068,48.4225085881727
2.41,0,701.140694979372,175.529359034332,93.0013608920045,48.6689698199052
2.42,0,705.727844558607,176.677743183722,93.546888946752,48.9161134463254
2.43,0,710.348015452687,177.834394140381,94.0952299151978,49.1639454734561
2.44,0,715.001744687609,178.99944634729,94.6464198290849,49.4124719675969
2.45,0,719.689581123438,180.17303721005,95.2004953214604,49.6616990561815
2.46,0,724.41208579809,181.355307182951,95.7574936401279,49.9116329286494
2.47,0,729.169832283399,182.546399858109,96.3174526614311,50.1622798373316
2.48,0,733.963407053999,183.746462057813,96.8804109043968,50.4136460983529
2.49,0,738.79340986956,184.95564393022,97.4464075452608,50.6657380925481
2.5,0,743.660454170959,186.174099048533,98.0154824323981,50.9185622663948
2.51,0,748.565167490997,187.401984513823,98.5876761016699,51.1721251329623
2.52,0,753.508191880288,188.639461061646,99.163029792203,51.426433272876
2.53,0,758.490184349002,189.886693172637,99.7415854626132,51.6814933352998
2.54,0,763.51181732515,191.143849187236,100.323385807689,51.9373120389346
2.55,0,768.573779130159,192.411101424749,100.908474275547,52.1938961730346
2.56,0,773.676774472524,193.688626306928,101.496895085285,52.4512525984412
2.57,0,778.82152496033,194.976604486284,102.088693245129,52.7093882486353
2.58,0,784.00876963353,196.275220979337,102.683914571121,52.968310130808
2.59,0,789.239265516877,197.584665305043,103.282605706332,53.2280253269506
2.6,0,794.513788194463,198.905131628624,103.884814140651,53.4885409949629
2.61,0,799.833132406874,200.236818911069,104.490588231143,53.7498643697828
2.62,0,805.198112672027,201.579931064554,105.099977223015,54.0120027645347
2.63,0,810.609563930806,202.934677114076,105.713031271201,54.2749635716991
2.64,0,816.068342218672,204.301271365587,106.329801462587,54.5387542643034
2.65,0,821.575325364507,205.679933580947,106.950339838915,54.8033823971341
2.66,0,827.131413717996,207.070889160025,107.574699420363,55.0688556079703
2.67,0,832.737530906946,208.474369330283,108.202934229847,55.3351816188409
2.68,0,838.394624626005,209.890611344238,108.835099318068,55.6023682373034
2.69,0,844.103667458342,211.31985868516,109.471250789319,55.8704233577475
2.7,0,849.865657731923,212.762361281437,110.111445828097,56.1393549627211
2.71,0,855.681620412119,214.218375730042,110.755742726531,56.4091711242821
2.72,0,861.552608032506,215.688165529549,111.404200912675,56.6798800053748
2.73,0,867.479701665771,217.172001323196,112.056880979683,56.9514898612312
2.74,0,873.464011936824,218.670161152515,112.713844715907,57.2240090407997
2.75,0,879.50668008028,220.182930722069,113.375155135953,57.4974459881992
2.76,0,885.608879044686,221.710603675868,114.040876512725,57.7718092442016
2.77,0,891.771814664942,223.253481886113,114.711074410499,58.0471074477415
2.78,0,897.996726769995,224.811875754876,115.38581571907,58.3233493374548
2.79,0,904.284890639731,226.386104529448,116.065168689006,58.6005437532464
2.8,0,910.637618122628,227.976496632076,116.749202968055,58.878699637888
2.81,0,917.056259114477,229.583390004834,117.437989638752,59.1578260386459
2.82,0,923.54220297944,231.207132470744,118.131601256537,59.4379321094813
2.83,0,930.09688005933,232.84808211115,118.830111891844,59.719027111326
2.84,0,936.721763253999,234.506607661846,119.533597170148,60.0011204148387
2.85,0,943.418369677044,236.183088927319,120.242134314845,60.2842215021817
2.86,0,950.188262391075,237.877917215217,120.955802191843,60.5683399686359
2.87,0,957.033052227097,239.591495791826,121.674681355423,60.8534855244281
2.88,0,963.954399692867,241.324240359817,122.398854095678,61.1396679965929
2.89,0,970.954016975455,243.076579559577,123.128404487587,61.4268973308726
2.9,0,978.033670043528,244.848955495512,123.863418441804,61.7151835936536
2.91,0,985.195180855311,246.641824288792,124.603983757222,62.0045369739419
2.92,0,992.440429678552,248.455656658153,125.350190175394,62.2949677853777
2.93,0,999.771357529297,250.290938530426,126.102129436882,62.5864864682899
2.94,0,1007.18996873672,252.148171682636,126.85989533962,62.8791035917926
2.95,0,1014.69833364181,254.0278744176,127.623583799376,63.1728298559232
2.96,0,1022.29859143825,255.930582275135,128.393292912405,63.4676760938238
2.97,0,1029.99295316443,257.856848781093,129.169123020381,63.7636532739676
2.98,0,1037.78370485628,259.807246236649,129.951176777716,64.0607725024292
2.99,0,1045.67321087103,261.782366550408,130.739559221357,64.3590450252029
3,0,1053.66391739335,263.782822116128,131.534377843191,64.6584822305675
3.01,0,1061.75835613539,265.809246739025,132.335742665154,64.9590956515005
3.02,0,1069.95914824389,267.862296613895,133.143766317167,65.2608969681419
3.03,0,1078.26900842805,269.942651358498,133.958564118047,65.5638980103094
3.04,0,1086.69074932304,272.051015105957,134.78025415949,65.8681107600659
3.05,0,1095.2272861054,274.188117660183,135.608957393309,66.1735473543411
3.06,0,1103.88164137748,276.354715718689,136.444797722041,66.4802200876079
3.07,0,1112.6569503399,278.551594167477,137.287902093096,66.7881414146163
3.08,0,1121.55646627223,280.779567453101,138.138400596617,67.0973239531846
3.09,0,1130.58356634381,283.039481037382,138.996426567208,67.4077804870524
3.1,0,1139.74175777861,285.33221294075,139.862116689731,67.7195239687955
3.11,0,1149.03468439993,287.658675380664,140.735611109357,68.0325675228111
3.12,0,1158.46613358279,290.019816512124,141.617053546085,68.3469244483843
3.13,0,1168.04004364462,292.416622277878,142.506591413944,68.6626082228923
3.14,0,1177.76051170711,294.850118376608,143.404375945161,68.9796325054646
3.15,0,1187.63180206536,297.321372358094,144.310562319682,69.2980111460145
3.16,0,1197.65835510339,299.831495855163,145.225309801474,69.6177581163276
3.17,0,1207.84479679871,302.381646963118,146.148781911765,69.9388877409984
3.18,0,1218.19594886266,304.97303277831,147.081146315605,70.2614143701456
3.19,0,1228.71683956738,307.606912108604,148.02257564435,70.5853526281552
3.2,0,1239.41271531499,310.28459836968,148.973246822346,70.9107173315501
3.21,0,1250.28905301021,313.00746268243,149.933341759163,71.2375235014133
3.22,0,1261.35157330296,315.776937188179,150.903047373756,71.5657863677676
3.23,0,1272.60625477445,318.594518600092,151.882555783827,71.8955213735536
3.24,0,1284.05934914721,321.461772010918,152.872064495574,72.2267441786118
3.25,0,1295.71739760775,324.38033497927,153.871776601239,72.5594706637326
3.26,0,1307.5872483393,327.351921918851,154.881900985452,72.8937169347916
3.27,0,1319.6760753723,330.37832881756,155.902652540936,73.2294993269762
3.28,0,1331.9913988714,333.461438316221,156.934252394121,73.566834409109
3.29,0,1344.5411069902,336.603225179792,157.976928141212,73.9057389880692
3.3,0,1357.33347943929,339.805762197453,159.030914095291,74.2462301133172
3.31,0,1370.37721292743,343.071226551921,160.096451545076,74.5883250815238
3.32,0,1383.68144866051,346.401906702757,161.173789025987,74.9320414413084
3.33,0,1397.2558020837,349.800209833481,162.263182604222,75.2773969980872
3.34,0,1411.11039510681,353.268669917931,163.364896174591,75.6244098190369
3.35,0,1425.2558910445,356.809956467718,164.479201772898,75.9730982381754
3.36,0,1439.7035325548,360.426884029838,165.606379903717,76.3234808615636
3.37,0,1454.46518288276,364.12242251177,166.746719884483,76.6755765726316
3.38,0,1469.55337075565,367.899708420576,167.900520206849,77.0294045376325
3.39,0,1484.98133931803,371.762057113763,169.068088916353,77.3849842112284
3.4,0,1500.76309954411,375.712976170315,170.249744011503,77.7423353422111
3.41,0,1516.91348861997,379.756180006546,171.445813863468,78.1014779793621
3.42,0,1533.44823385192,383.895605875037,172.656637657635,78.4624324774563
3.43,0,1550.38402273065,388.135431404692,173.882565858406,78.8252195034127
3.44,0,1567.73857986475,392.480093860511,175.123960698688,79.1898600425972
3.45,0,1585.53075159476,396.934311326088,176.38119669565,79.5563754052813
3.46,0,1603.78059921121,401.503106040071,177.654661194417,79.9247872332616
3.47,0,1622.50950183099,406.191830150494,178.944754941531,80.2951175066454
3.48,0,1641.74027013819,411.006194188922,180.251892690107,80.6673885508061
3.49,0,1661.49727237283,415.952298610776,181.576503838782,81.0416230435144
3.5,0,1681.80657415855,421.036668800085,182.919033106727,81.4178440222511
3.51,0,1702.69609400342,426.266293997891,184.279941247133,81.7960748917051
3.52,0,1724.19577659477,431.648670685201,185.659705801804,82.1763394314641
3.53,0,1746.3377863472,437.191851036147,187.058821899695,82.5586618039028
3.54,0,1769.15672406362,442.904497157266,188.477803102436,82.9430665622754
3.55,0,1792.68987004591,448.795941948188,189.91718230017,83.3295786590181
3.56,0,1816.97745756022,454.876257561307,191.377512661268,83.7182234542676
3.57,0,1842.06298124293,461.156332608488,192.859368639809,84.1090267246039
