"Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []","re(Gamma(1:4)) []","re(Gamma(1:6)) []"
2.7,0,61.7776824549312,61.7777736307078,74.6417263588192,104.105451062285
2.71,0,61.5850490420861,61.5851405030531,74.482370597603,103.991255194346
2.72,0,61.3910956914996,61.3911874414194,74.3220821460578,103.876510923223
2.73,0,61.1958098529828,61.1959018956914,74.1608549565399,103.76121642956
2.74,0,60.9991787288559,60.999271068264,73.998682893126,103.645369877165
2.75,0,60.8011892671537,60.80128190725,73.835559729867,103.528969412816
2.76,0,60.6018281545901,60.601921099443,73.6714791489962,103.412013166063
2.77,0,60.4010818092654,60.4011750630252,73.5064347390899,103.294499249036
2.78,0,60.1989363731084,60.1990299400097,73.3404199931801,103.176425756241
2.79,0,59.9953777040399,59.9954715884044,73.1734283068172,103.057790764357
2.8,0,59.7903913678457,59.7904855740844,73.0054529760802,102.938592332029
2.81,0,59.5839626297443,59.5840571623601,72.8364871955346,102.818828499659
2.82,0,59.3760764456381,59.376171309229,72.6665240561345,102.69849728919
2.83,0,59.1667174530296,59.1668126522909,72.4955565430679,102.577596703891
2.84,0,58.9558699615898,58.9559655013174,72.323577533543,102.456124728136
2.85,0,58.7435179433614,58.7436138284552,72.150579794514,102.33407932718
2.86,0,58.5296450225784,58.5297412580449,71.9765559803438,102.21145844693
2.87,0,58.3142344650852,58.3143310560412,71.8014986304008,102.088260013718
2.88,0,58.0972691673344,58.0973661190105,71.6254001665905,101.96448193406
2.89,0,57.8787316449433,57.8788289626872,71.4482528908151,101.840122094422
2.9,0,57.6586040207867,57.6587017100674,71.2700489823629,101.715178360977
2.91,0,57.4368680126041,57.4369660790152,71.0907804952218,101.589648579355
2.92,0,57.2135049200936,57.2136033693581,70.910439355317,101.463530574394
2.93,0,56.9884956114719,56.9885944494457,70.7290173576678,101.336822149889
2.94,0,56.7618205094657,56.7619197421426,70.5465061634615,101.209521088326
2.95,0,56.533459576712,56.5335592102281,70.3628972970431,101.081625150624
2.96,0,56.3033923005313,56.3034923411699,70.1781821428144,100.953132075865
2.97,0,56.0715976770434,56.0716981312396,69.9923519420424,100.824039581023
2.98,0,55.8380541945883,55.8381550689349,69.8053977895714,100.694345360687
2.99,0,55.6027398164175,55.6028411176701,69.6173106304369,100.564047086778
3,0,55.3656319626133,55.365733697696,69.4280812563768,100.433142408266
3.01,0,55.1267074911947,55.1268096672064,69.2377003022361,100.301628950876
3.02,0,54.8859426783657,54.8860453025855,69.046158242261,100.169504316795
3.03,0,54.6433131978543,54.6434162777496,68.853445386279,100.036766084367
3.04,0,54.3987940992963,54.3988976425283,68.6595518757597,99.9034118077913
3.05,0,54.1523597856026,54.152463800034,68.4644676797524,99.7694390168096
3.06,0,53.9039839892558,53.9040884829582,68.2681825906949,99.6348452163873
3.07,0,53.6536397474712,53.6537447287332,68.07068622009,99.4996278863944
3.08,0,53.4012993761555,53.4014048534907,67.8719679940422,99.3637844812752
3.09,0,53.1469344425906,53.1470404247466,67.6720171486525,99.2273124297162
3.1,0,52.8905157367664,52.8906222327339,67.4708227252614,99.0902091343068
3.11,0,52.6320132412786,52.6321202603007,67.2683735655369,98.9524719711925
3.12,0,52.3713960997031,52.3715036512857,67.0646583064024,98.8140982897253
3.13,0,52.1086325833518,52.108740677274,66.8596653747928,98.6750854121052
3.14,0,51.8436900563065,51.8437987026319,66.653382982238,98.5354306330159
3.15,0,51.5765349386219,51.5766441477102,66.4457991192626,98.395131219255
3.16,0,51.3071326675764,51.3072424500959,66.2369015495954,98.2541844093562
3.17,0,51.0354476568449,51.0355580237856,66.0266778041805,98.1125874132064
3.18,0,50.7614432534546,50.7615542161422,65.8151151749825,97.9703374116533
3.19,0,50.4850816923745,50.4851932624841,65.6022007085756,97.8274315561092
3.2,0,50.2063240485761,50.2064362381486,65.3879211995086,97.6838669681444
