"Freq [GHz]","im(S(1,1)) []","im(S(2,1)) []","im(S(1,2)) []","im(S(2,2)) []"
4.84,-0.35718958897669,-0.355306113054177,-0.355306113054179,-0.350946507484384
4.84571428571429,-0.356300412285866,-0.355289476934283,-0.355289476934285,-0.350179954903414
4.85142857142857,-0.355404195467212,-0.355296513501871,-0.355296513501874,-0.349406061989124
4.85714285714286,-0.35450384165465,-0.355327631566454,-0.355327631566459,-0.348627333034277
4.86285714285714,-0.353602279700897,-0.355383173034328,-0.355383173034331,-0.347846306648329
4.86857142857143,-0.352702454140738,-0.355463411553077,-0.35546341155308,-0.34706554695179
4.87428571428572,-0.351807314934213,-0.355568551218222,-0.355568551218224,-0.346287634511491
4.88,-0.350919807030574,-0.355698725352015,-0.355698725352018,-0.34551515705352
4.88571428571429,-0.35004285979633,-0.355853995366124,-0.355853995366128,-0.344750699993478
4.89142857142857,-0.349179376353197,-0.356034349721659,-0.356034349721662,-0.343996836826423
4.89714285714286,-0.348332222873912,-0.356239703001333,-0.356239703001336,-0.343256119420765
4.90285714285714,-0.347504217885863,-0.356469895110272,-0.356469895110274,-0.342531068263287
4.90857142857143,-0.346698121634045,-0.356724690622895,-0.356724690622899,-0.341824162703698
4.91428571428572,-0.345916625556377,-0.357003778294403,-0.357003778294406,-0.341137831248918
4.92,-0.345162341925309,-0.35730677075649,-0.357306770756494,-0.340474441959098
4.92571428571429,-0.344437793710619,-0.357633204417049,-0.357633204417052,-0.339836292997315
4.93142857142857,-0.343745404718168,-0.357982539584268,-0.357982539584272,-0.339225603386617
4.93714285714286,-0.34308749005981,-0.358354160835458,-0.35835416083546,-0.33864450402746
4.94285714285714,-0.342466247008847,-0.358747377650501,-0.358747377650503,-0.338095029028598
4.94857142857143,-0.341883746294511,-0.359161425329412,-0.359161425329414,-0.337579107403913
4.95428571428572,-0.341341923887411,-0.359595466212211,-0.359595466212213,-0.33709855518644
4.96,-0.340842573326186,-0.360048591218132,-0.360048591218134,-0.336655068008964
4.96571428571429,-0.340387338633137,-0.360519821719433,-0.360519821719436,-0.336250214198744
4.97142857142857,-0.339977707863503,-0.361008111762894,-0.361008111762896,-0.335885428431237
4.97714285714286,-0.339615007329762,-0.361512350649503,-0.361512350649505,-0.335562005984239
4.98285714285714,-0.339300396538708,-0.362031365880271,-0.362031365880273,-0.335281097630627
4.98857142857143,-0.339034863874206,-0.362563926472546,-0.362563926472547,-0.335043705203436
4.99428571428571,-0.338819223054242,-0.363108746648034,-0.363108746648035,-0.334850677862778
5,-0.338654110385432,-0.363664489889785,-0.363664489889786,-0.334702709088867
5.00571428571429,-0.338539982832591,-0.364229773361314,-0.364229773361314,-0.334600334420264
5.01142857142857,-0.338477116915566,-0.364803172677159,-0.36480317267716,-0.334543929950684
5.01714285714286,-0.338465608438831,-0.365383227009502,-0.365383227009502,-0.334533711592023
5.02285714285714,-0.338505373053799,-0.365968444511429,-0.36596844451143,-0.334569735105
5.02857142857143,-0.338596147646908,-0.366557308032793,-0.366557308032794,-0.334651896892683
5.03428571428571,-0.338737492540669,-0.367148281100664,-0.367148281100663,-0.334779935546177
5.04,-0.338928794488565,-0.367739814132066,-0.367739814132066,-0.334953434125251
5.04571428571429,-0.339169270438269,-0.368330350842935,-0.368330350842935,-0.335171823151224
5.05142857142857,-0.339457972032419,-0.368918334813691,-0.368918334813691,-0.335434384283182
5.05714285714286,-0.339793790810268,-0.369502216168761,-0.369502216168761,-0.33574025464374
5.06285714285714,-0.34017546406871,-0.370080458324577,-0.370080458324576,-0.336088431755195
5.06857142857143,-0.340601581336793,-0.370651544758724,-0.370651544758724,-0.336477779042812
5.07428571428571,-0.341070591413496,-0.37121398575096,-0.37121398575096,-0.336907031857785
5.08,-0.341580809915627,-0.371766325046321,-0.37176632504632,-0.337374803969647
5.08571428571429,-0.342130427279944,-0.37230714638994,-0.372307146389939,-0.33787959447473
5.09142857142857,-0.342717517161601,-0.372835079883837,-0.372835079883836,-0.338419795066171
5.09714285714286,-0.343340045170017,-0.373348808116878,-0.373348808116878,-0.338993697609317
5.10285714285714,-0.343995877882685,-0.373847072020992,-0.373847072020992,-0.339599501966451
5.10857142857143,-0.344682792077808,-0.374328676409008,-0.374328676409007,-0.340235324014956
5.11428571428571,-0.345398484127752,-0.374792495152758,-0.374792495152758,-0.340899203804419
5.12,-0.346140579496708,-0.375237475963499,-0.375237475963499,-0.34158911379997
5.12571428571429,-0.346906642288475,-0.375662644740868,-0.375662644740867,-0.342302967161438
5.13142857142857,-0.347694184792815,-0.376067109461306,-0.376067109461305,-0.343038626011395
5.13714285714286,-0.348500676982262,-0.376450063581871,-0.37645006358187,-0.343793909648629
5.14285714285714,-0.349323555914474,-0.376810788940244,-0.376810788940244,-0.344566602667133
5.14857142857143,-0.350160234999187,-0.377148658138006,-0.377148658138005,-0.345354462946226
5.15428571428571,-0.351008113092296,-0.377463136399147,-0.377463136399145,-0.346155229480938
5.16,-0.351864583383252,-0.377753782902334,-0.377753782902333,-0.346966630027849
5.16571428571429,-0.352727042044896,-0.378020251591189,-0.378020251591188,-0.347786388546538
5.17142857142857,-0.353592896617126,-0.378262291473192,-0.378262291473191,-0.348612232422537
5.17714285714286,-0.354459574096551,-0.378479746425178,-0.378479746425177,-0.349441899465014
5.18285714285714,-0.355324528702389,-0.378672554531293,-0.378672554531292,-0.350273144680129
5.18857142857143,-0.356185249283436,-0.378840746990515,-0.378840746990514,-0.351103746832615
5.19428571428571,-0.357039266317632,-0.378984446647468,-0.378984446647467,-0.351931514826228
5.2,-0.357884158430202,-0.379103866229087,-0.379103866229086,-0.352754293965014
5.20571428571429,-0.358717558307409,-0.379199306426695,-0.379199306426694,-0.353569972220551
5.21142857142857,-0.359537157792918,-0.379271154087664,-0.379271154087664,-0.354376486768198
5.21714285714286,-0.360340711795944,-0.379319881082218,-0.379319881082217,-0.355171831389466
5.22285714285714,-0.361126040431584,-0.379346045229455,-0.379346045229454,-0.355954066241695
5.22857142857143,-0.361891029021652,-0.379350297209725,-0.379350297209724,-0.356721334295521
5.23428571428571,-0.362633630563337,-0.379333406851545,-0.379333406851544,-0.357471899102602
5.24,-0.363351928022703,-0.379296367476792,-0.379296367476791,-0.358204267805257
5.24571428571429,-0.364045041292782,-0.379240954711618,-0.379240954711617,-0.358917804316495
