"Freq [GHz]","im(Z(1,1)) []","im(Z(1,2)) []"
3.70285714285714,-66.8277702010062,-66.548121034899
3.70857142857143,-66.850948044037,-66.6682302554588
3.71428571428571,-66.8661867623489,-66.7797788184217
3.72,-66.8731880669586,-66.8821092986978
3.72571428571429,-66.871681459135,-66.974597284522
3.73142857142857,-66.8614259554235,-67.0566548684316
3.73714285714286,-66.8422117503885,-67.1277340216757
3.74285714285714,-66.8138617988747,-67.1873298198162
3.74857142857143,-66.7762332991945,-67.2349834877198
3.75428571428571,-66.7292190586078,-67.270285233173
3.76,-66.672748722781,-67.2928768398128
3.76571428571429,-66.6067898515811,-67.3024539921164
3.77142857142857,-66.5313488245981,-67.2987683076052
3.77714285714286,-66.4464715611687,-67.2816290543707
3.78285714285714,-66.3522440414948,-67.2509045353441
3.78857142857143,-66.2487926174894,-67.2065231244156
3.79428571428571,-66.1362841044343,-67.1484739434919
3.8,-66.0149256471554,-67.076807173796
3.80571428571429,-65.8849643573774,-66.9916339991053
3.81142857142857,-65.7466867218815,-66.8931261830474
3.81714285714286,-65.6004177842884,-66.7815152870667
3.82285714285714,-65.4465201064579,-66.6570915400419
3.82857142857143,-65.2853925185981,-66.5202023747238
3.83428571428571,-65.1174686702394,-66.3712506501575
3.84,-64.9432153970812,-66.2106925829096
3.84571428571429,-64.7631309213428,-66.0390354131935
3.85142857142857,-64.5777429055794,-65.8568348348274
3.85714285714286,-64.3876063819418,-65.6646922203436
3.86285714285714,-64.193301580472,-65.4632516744137
3.86857142857143,-63.9954316812622,-65.2531969500802
3.87428571428571,-63.7946205160805,-65.035248263061
3.88,-63.5915102454637,-64.8101590396488
3.88571428571429,-63.386759037229,-64.578712633449
3.89142857142857,-63.1810387718734,-64.3417190454183
3.89714285714286,-62.9750327995362,-64.100011680451
3.90285714285714,-62.769433771954,-63.8544441721309
3.90857142857143,-62.5649415714318,-63.6058873052474
3.91428571428571,-62.3622613570353,-63.3552260634253
3.92,-62.1621017462808,-63.1033568266345
3.92571428571429,-61.9651731485361,-62.8511847407141
3.93142857142857,-61.7721862640745,-62.5996212781556
3.93714285714286,-61.5838507605659,-62.3495820066068
3.94285714285714,-61.400874136505,-62.1019845786526
3.94857142857143,-61.2239607789294,-61.8577469536763
3.95428571428571,-61.0538112207442,-61.6177858599261
3.96,-60.891121601034,-61.383015502399
3.96571428571429,-60.7365833299873,-61.1543465198402
