"Freq [GHz]","re(Zo(1:1)) []","re(Zo(2:1)) []"
2.68,49.8670154656679,49.6628261211372
2.68571428571429,49.8668231143652,49.6626352338525
2.69142857142857,49.8666341207961,49.6624477068695
2.69714285714286,49.8664484974697,49.6622635526985
2.70285714285714,49.8662662568389,49.6620827837936
2.70857142857143,49.8660874113005,49.6619054125528
2.71428571428571,49.8659119731946,49.6617314513177
2.72,49.8657399548044,49.6615609123729
2.72571428571429,49.8655713683562,49.6613938079464
2.73142857142857,49.8654062260191,49.6612301502086
2.73714285714286,49.8652445399046,49.6610699512729
2.74285714285714,49.8650863220664,49.6609132231949
2.74857142857143,49.8649315845005,49.6607599779724
2.75428571428571,49.8647803391447,49.6606102275451
2.76,49.8646325978782,49.6604639837945
2.76571428571429,49.8644883725221,49.6603212585436
2.77142857142857,49.8643476748384,49.6601820635566
