"Freq [GHz]","im(Z(1,1)) [] - stripwidth='4.7mm'","im(Z(2,1)) [] - stripwidth='4.7mm'"
2.36,74.7642634350602,90.7290004801247
2.36571428571429,85.1622077231003,99.4154675878347
2.37142857142857,97.8027581260565,110.364003533823
2.37714285714286,113.618039021473,124.499773648835
2.38285714285714,134.127955183585,143.333758112453
2.38857142857143,161.985245968253,169.505779821477
2.39428571428571,202.250342285259,208.054661337455
2.4,265.806647853106,269.820953898762
2.40571428571429,380.181997104479,382.228630908469
2.41142857142857,624.751958451684,624.358475054013
2.41714285714286,409.693450821741,408.530234822708
2.42285714285714,-735.919088320314,-734.415662862466
2.42857142857143,-432.190453934286,-433.335298540538
2.43428571428571,-291.955920719695,-295.159581094406
2.44,-217.773131508382,-222.802467640722
2.44571428571429,-172.288548471573,-179.049479694292
2.45142857142857,-141.513673542718,-149.966098602695
2.45714285714286,-119.216386826238,-129.345977362367
2.46285714285714,-102.229970823883,-114.037101080991
2.46857142857143,-88.7818775157367,-102.276680899368
2.47428571428571,-77.8044959060701,-93.0044672722884
2.48,-68.6168831171433,-85.5456754758912
2.48571428571429,-60.7642424100594,-79.4510856121677
2.49142857142857,-53.9310592810682,-74.410536031303
2.49714285714286,-47.8913206495156,-70.2033696433446
2.50285714285714,-42.4785924072118,-66.6686723602603
2.50857142857143,-37.5672929869015,-63.6866742450907
2.51428571428571,-33.060559788884,-61.1667285758532
2.52,-28.8821447454446,-59.0393163718652
2.52571428571429,-24.9708520586714,-57.2505971960665
2.53142857142857,-21.2766244718112,-55.7586187698393
2.53714285714286,-17.7577237415466,-54.530636730671
2.54285714285714,-14.3786513905457,-53.5411964808932
2.54857142857143,-11.1085775386617,-52.770751570599
2.55428571428571,-7.92012127853556,-52.2046700492225
2.56,-4.7883739394064,-51.8325300396821
2.56571428571429,-1.6900871600963,-51.6476390780571
2.57142857142857,1.39703289253322,-51.6467349097982
2.57714285714286,4.49497195551524,-51.8298424345417
2.58285714285714,7.62603514918877,-52.200274989922
2.58857142857143,10.8134938983614,-52.7647800775115
2.59428571428571,14.0822927544144,-53.5338415608483
2.6,17.4598630490072,-54.5221639087559
2.60571428571429,20.9771022741078,-55.7493811426064
2.61142857142857,24.6695976364594,-57.241056434853
2.61714285714286,28.5792030201075,-59.0300718218029
2.62285714285714,32.7561267937797,-61.1585576765123
2.62857142857143,37.2617640881768,-63.6805891677621
2.63428571428571,42.1726297414338,-66.6660003946966
2.64,47.5859499561729,-70.2058691308352
2.64571428571429,53.6278124793537,-74.4205666961691
2.65142857142857,60.4653727633729,-79.4718641029325
2.65714285714286,68.3256980824802,-85.581667704255
2.66285714285714,77.5258851869947,-93.062006089991
2.66857142857143,88.5231722262751,-102.3649645733
2.67428571428571,102.002374062711,-114.169849409481
2.68,119.037388921048,-129.544231418658
2.68571428571429,141.411051215953,-150.262919738927
2.69142857142857,172.305986115809,-179.496956878801
2.69714285714286,217.969799025121,-223.474367764185
2.70285714285714,292.318190691038,-296.071042954906
2.70857142857143,431.458544655783,-433.295746247017
2.71428571428571,707.623199182821,-707.185597651694
2.72,-442.585269932729,441.521519835215
2.72571428571429,-593.059176065291,593.131437715361
2.73142857142857,-369.712365310999,371.918011377646
2.73714285714286,-260.847913056573,264.890452061358
2.74285714285714,-199.372842402278,205.135660242779
2.74857142857143,-160.106304195447,167.542215250276
2.75428571428571,-132.806245196684,141.898100834793
2.76,-112.640698721451,123.387191558705
2.76571428571429,-97.0543461176537,109.464122688177
2.77142857142857,-84.5745059530153,98.6634639589074
2.77714285714286,-74.2942423982465,90.0842248372156
2.78285714285714,-65.6248723758212,83.143049282947
2.78857142857143,-58.1675915654716,77.4462181623358
2.79428571428571,-51.642438160332,72.7188423943038
2.8,-45.8468340509527,68.7635608824649
2.80571428571429,-40.6302834009971,65.4353598351953
2.81142857142857,-35.8783328757825,62.6256373558008
2.81714285714286,-31.5020624695063,60.2517937995937
2.82285714285714,-27.4309967734696,58.2502453844143
2.82857142857143,-23.6081964239677,56.5716266205947
2.83428571428571,-19.98677559615,55.1774325871541
2.84,-16.5273728135061,54.0376335366056
2.84571428571429,-13.1962703033889,53.1289628593707
2.85142857142857,-9.96396004447742,52.4336834293904
2.85714285714286,-6.80401907843047,51.9387033812362
2.86285714285714,-3.69219760368191,51.6349555590064
2.86857142857143,-0.605649521861137,51.5169841112141
2.87428571428571,2.47774842766221,51.5827023879323
2.88,5.58003303692415,51.8333018655478
2.88571428571429,8.72378583110648,52.2733046209187
2.89142857142857,11.9327978877206,52.9107636739862
2.89714285714286,15.2328106438557,53.7576278906553
2.90285714285714,18.6523833696944,54.8303027746487
2.90857142857143,22.223952429581,56.1504575249064
2.91428571428571,25.9851706147969,57.7461552737415
2.92,29.9806511449863,59.6534222174779
2.92571428571429,34.2642979213354,61.918430156848
2.93142857142857,38.9024942020301,64.6005588551615
