"Freq [GHz]","re(S(1,1)) []","re(S(2,1)) []","re(S(1,2)) []","re(S(2,2)) []"
3.87428571428571,0.351302145612118,0.372098557234487,0.372098557234487,0.352806684684188
3.88,0.350084345843078,0.371714127661888,0.371714127661886,0.35141011085531
3.88571428571429,0.348851308032955,0.371302188863388,0.371302188863386,0.349995337680069
3.89142857142857,0.347606797372628,0.370863569662948,0.370863569662946,0.348566491304006
3.89714285714286,0.34635466128449,0.370399228648831,0.370399228648828,0.347127789871818
3.90285714285714,0.34509881955862,0.369910253783838,0.369910253783834,0.345683532798609
3.90857142857143,0.343843254209078,0.369397861599752,0.369397861599746,0.344238089727651
3.91428571428571,0.342591999073197,0.368863395973218,0.368863395973212,0.342795889200343
3.92,0.341349129178165,0.368308326480718,0.36830832648071,0.341361407065194
3.92571428571429,0.340118749900098,0.367734246330034,0.367734246330026,0.339939154653546
3.93142857142857,0.338904985941615,0.367142869865581,0.367142869865572,0.338533666750841
3.93714285714286,0.337711970154318,0.366536029644168,0.36653602964416,0.337149489392752
3.94285714285714,0.336543832233171,0.365915673077234,0.365915673077224,0.335791167515871
3.94857142857143,0.335404687309443,0.365283858634458,0.365283858634449,0.334463232492906
3.95428571428571,0.334298624469459,0.364642751602964,0.364642751602954,0.333170189582224
3.96,0.333229695225478,0.36399461939481,0.3639946193948,0.331916505321234
3.96571428571429,0.332201901964898,0.363341826394845,0.363341826394836,0.330706594893047
3.97142857142857,0.331219186403513,0.362686828339645,0.362686828339637,0.329544809494588
3.97714285714286,0.330285418067743,0.362032166217893,0.362032166217885,0.328435423734562
3.98285714285714,0.329404382829992,0.361380459681585,0.361380459681579,0.327382623088141
3.98857142857143,0.328579771520657,0.360734399957446,0.360734399957441,0.326390491434688
3.99428571428571,0.327815168639725,0.360096742248352,0.36009674224835,0.325462998704372
4,0.327114041189569,0.359470297614588,0.359470297614588,0.324603988658105
4.00571428571429,0.326431004742357,0.358838093761579,0.358838093761578,0.323770777979916
4.01142857142857,0.325799777356077,0.358210277873611,0.358210277873611,0.322995521711125
4.01714285714286,0.325222658489426,0.357589298958445,0.357589298958444,0.322280916963748
4.02285714285714,0.324701611690476,0.356977453026749,0.356977453026749,0.321629313272739
4.02857142857143,0.324238266726158,0.356376883098061,0.356376883098061,0.321042713654272
4.03428571428571,0.32383392303124,0.355789579877006,0.355789579877005,0.320522777014714
4.04,0.323489554404798,0.355217383042447,0.355217383042446,0.32007082184016
