"Freq [GHz]","re(Z(1,1)) []","re(Z(1,2)) []"
2.65142857142857,26.0826492795757,-22.0017719900355
2.65714285714286,26.0524177701719,-21.9221640064042
2.66285714285714,26.023020635182,-21.8432919770069
2.66857142857143,25.9944911939828,-21.7654567271886
2.67428571428571,25.9668621128371,-21.6889487656362
2.68,25.9401659721649,-21.6140470320449
2.68571428571429,25.914435752,-21.5410178038966
2.69142857142857,25.889705227838,-21.4701137653181
2.69714285714286,25.8660092719373,-21.4015732378563
2.70285714285714,25.8433840577838,-21.3356195701262
2.70857142857143,25.8218671678758,-21.2724606807442
2.71428571428571,25.8014976072375,-21.2122887466623
2.72,25.7823157269654,-21.1552800272285
2.72571428571429,25.7643630637416,-21.1015948127692
2.73142857142857,25.7476821025218,-21.0513774854361
2.73714285714286,25.7323159705682,-21.0047566793542
