"Freq [GHz]","re(Z(1,1)) [] - stripwidth='4.7mm'","re(Z(2,1)) [] - stripwidth='4.7mm'"
3.79428571428571,2.30243613978713,-0.8496224386725
3.8,2.40473582775789,-1.0152270539879
3.80571428571429,2.53094323241355,-1.19762781190369
3.81142857142857,2.6850132120336,-1.40157352771813
3.81714285714286,2.8721997971507,-1.63299260510206
3.82285714285714,3.09949501158643,-1.89945053333883
3.82857142857143,3.37627097849033,-2.2108068142481
3.83428571428571,3.71523549335685,-2.58018218191841
3.84,4.13388459688709,-3.02542008304137
3.84571428571429,4.65676715829714,-3.57135760947687
3.85142857142857,5.31912115028633,-4.25346542202417
3.85714285714286,6.17291632748319,-5.12389072831342
3.86285714285714,7.29730621435018,-6.26190463964889
3.86857142857143,8.81758015231757,-7.79284115184825
3.87428571428571,10.9415174252316,-9.92442191278969
3.88,14.0340484072665,-13.0213530980824
3.88571428571429,18.7841126662913,-17.7720362558238
3.89142857142857,26.6198727172185,-25.6034127585898
3.89714285714286,40.8986509468258,-39.8698420853811
3.90285714285714,71.0440704767572,-69.9865734078061
3.90857142857143,151.469160555403,-150.336153594355
3.91428571428571,462.18589325061,-460.772473876601
3.92,1155.40809895487,-1153.38860281357
3.92571428571429,359.747817077864,-358.421534874702
3.93142857142857,125.914197396317,-124.778818223426
3.93714285714286,61.1739388901071,-60.0800440966058
3.94285714285714,35.786144997603,-34.6976349681301
3.94857142857143,23.4565906238691,-22.3600990794112
3.95428571428571,16.5958254994792,-15.4844667613972
3.96,12.4064338701984,-11.2756573748562
3.96571428571429,9.67107420626107,-8.51729777391413
3.97142857142857,7.79314097125478,-6.61320860914268
3.97714285714286,6.4530044428673,-5.24393644348604
3.98285714285714,5.46715730659335,-4.22601739232657
3.98857142857143,4.72425940804649,-3.44807223869293
3.99428571428571,4.15364284979909,-2.83933330328858
4,3.70874744607836,-2.35308797899212
4.00571428571429,3.35482067014008,-1.95538779814206
4.01142857142857,3.07237273666931,-1.62396076150888
4.01714285714286,2.84577943563555,-1.34271020652018
4.02285714285714,2.66378783855603,-1.09983529440701
4.02857142857143,2.51818225044347,-0.886487169368331
4.03428571428571,2.40290877070574,-0.695880126261709
4.04,2.31348919142416,-0.522687877069822
4.04571428571429,2.24662275861545,-0.362622517002828
4.05142857142857,2.19991345960958,-0.212132601399115
4.05714285714286,2.17168381396275,-0.0681796446253322
4.06285714285714,2.16085048032589,0.0719338686163035
4.06857142857143,2.16684612881191,0.21070350181223
4.07428571428571,2.18957813720908,0.350542434537263
4.08,2.22941905503277,0.493892266033557
4.08571428571429,2.28722728620187,0.643334478209077
4.09142857142857,2.36439968696989,0.801712018978319
4.09714285714286,2.46296130835599,0.972271801167275
4.10285714285714,2.5857019421572,1.1588418072302
4.10857142857143,2.73637528337159,1.36606154998961
4.11428571428571,2.91998566951131,1.59969298861473
4.12,3.1432015987147,1.86705263784818
4.12571428571429,3.41495820284401,2.17762810396443
4.13142857142857,3.747349101945,2.54398011593081
4.13714285714286,4.15697377245717,2.98309641163649
4.14285714285714,4.66702323387187,3.51848001114075
4.14857142857143,5.310601720675,4.183468538358
4.15428571428571,6.13619424187934,5.02669223478068
4.16,7.21701870327297,6.12140468739225
4.16571428571429,8.66776000025124,7.58217405156426
4.17142857142857,10.6761596806892,9.59638759433328
4.17714285714286,13.5666275221783,12.487688065448
4.18285714285714,17.9389254208175,16.854272360179
4.18857142857143,25.002351527802,23.9021453703346
4.19428571428571,37.4927954272528,36.3596241074671
4.2,62.6708257654039,61.4671023406609
4.20571428571429,124.834573420264,123.455298071375
4.21142857142857,336.952175159527,334.980300774183
4.21714285714286,1073.92866537418,1069.92635851868
4.22285714285714,507.38098360418,504.951874523056
4.22857142857143,163.368491552726,161.873471452265
4.23428571428571,74.7552386380633,73.4893328025005
4.24,42.2085311167181,41.016220631244
4.24571428571429,27.0452886375984,25.8769951084811
4.25142857142857,18.8362207431579,17.6707380454453
4.25714285714286,13.917981603091,12.7439553417492
4.26285714285714,10.7500901212699,9.56021138784909
